Ngay,GiaDieuChinh,GiaDongCua,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat,Price_change,%Price_change,Return,MA5,MA10,MA20,Volatility_5,OpenCloseGap,HighLowRange,VolumeChange
2022-02-14,18370.0,19800.0,902400,18109000000,0,0,20400.0,20400.0,19500.0,-800.0,-3.88,-0.03883495145631066,20390.0,19830.0,20925.0,0.022133036373101635,-600.0,900.0,0.5951917977726711
2022-02-15,18470.0,19900.0,671600,13312000000,0,0,19700.0,20050.0,19600.0,100.0,0.51,0.005050505050504972,20320.0,19900.0,20740.0,0.02234434471278778,200.0,450.0,-0.25576241134751776
2022-02-16,18650.0,20100.0,619300,12490000000,0,0,20350.0,20400.0,20000.0,200.0,1.01,0.01005025125628145,20200.0,20025.0,20520.0,0.019331407329064684,-250.0,400.0,-0.07787373436569389
2022-02-17,18880.0,20350.0,586700,11843000000,0,0,20100.0,20350.0,20100.0,250.0,1.24,0.01243781094527363,20150.0,20160.0,20355.0,0.02099908383766975,250.0,250.0,-0.052640077506862615
2022-02-18,19210.0,20700.0,1871900,38500000000,0,0,20200.0,20950.0,20050.0,300.0,1.47,0.017199017199017286,20170.0,20320.0,20215.0,0.02279367085761885,500.0,900.0,2.190557354695756
2022-02-21,19900.0,21450.0,1349000,28852000000,0,0,21000.0,21700.0,21000.0,750.0,3.62,0.03623188405797095,20500.0,20445.0,20192.5,0.012026626101745295,450.0,700.0,-0.2793418451840376
2022-02-22,19350.0,20850.0,1478300,30952000000,0,0,21100.0,21400.0,20500.0,-650.0,-3.02,-0.027972027972028024,20690.0,20505.0,20215.0,0.02338223113170238,-250.0,900.0,0.09584877687175686
2022-02-23,19630.0,21150.0,970500,20507000000,0,0,21000.0,21300.0,21000.0,250.0,1.2,0.014388489208633004,20900.0,20550.0,20247.5,0.02348387667305541,150.0,300.0,-0.3435026719880945
2022-02-24,19110.0,20600.0,2057300,43097000000,0,0,21100.0,21700.0,20000.0,-600.0,-2.83,-0.026004728132387744,20950.0,20550.0,20212.5,0.028442664984161585,-500.0,1700.0,1.1198351365275632
2022-02-25,19760.0,21300.0,1228400,25997000000,0,0,21000.0,21450.0,20800.0,700.0,3.4,0.03398058252427183,21070.0,20620.0,20220.0,0.03140688597109769,300.0,650.0,-0.40290672240314973
2022-02-28,19580.0,21100.0,1001200,21234000000,0,0,21600.0,21600.0,21000.0,-200.0,-0.94,-0.009389671361502372,21000.0,20750.0,20290.0,0.026756170489177004,-500.0,600.0,-0.18495604037772717
2022-03-01,19760.0,21300.0,1042700,22035000000,0,0,21050.0,21450.0,20850.0,200.0,0.95,0.009478672985782088,21090.0,20890.0,20395.0,0.022995299101810085,250.0,600.0,0.0414502596883739
2022-03-02,19530.0,21050.0,1290900,27240000000,0,0,21400.0,21400.0,20800.0,-250.0,-1.17,-0.011737089201877882,21070.0,20985.0,20505.0,0.02315166974213442,-350.0,600.0,0.23803586841852886
2022-03-03,19900.0,21450.0,1753200,37262000000,0,0,21250.0,21500.0,20800.0,350.0,1.66,0.019002375296912177,21240.0,21095.0,20627.5,0.01929913462298236,200.0,700.0,0.35812224029746687
2022-03-04,20270.0,21850.0,1875500,41360000000,0,0,21850.0,22300.0,21750.0,350.0,1.63,0.018648018648018683,21350.0,21210.0,20765.0,0.014911281902628961,0.0,550.0,0.06975815651380324
2022-03-07,19950.0,21500.0,1230600,26607000000,0,0,21500.0,21900.0,21300.0,-400.0,-1.83,-0.016018306636155555,21430.0,21215.0,20830.0,0.016717967072092138,0.0,600.0,-0.3438549720074646
2022-03-08,19720.0,21250.0,1587800,34258000000,0,0,21200.0,21900.0,21000.0,-250.0,-1.16,-0.011627906976744207,21420.0,21255.0,20880.0,0.01759113344041449,50.0,900.0,0.29026491142532107
2022-03-09,19670.0,21200.0,1160200,24626000000,0,0,21850.0,21850.0,20900.0,-100.0,-0.47,-0.0023529411764705577,21450.0,21260.0,20905.0,0.01654132155110415,-650.0,950.0,-0.26930343872024187
2022-03-10,19760.0,21300.0,583400,12564000000,0,0,21700.0,21800.0,21300.0,100.0,0.47,0.004716981132075526,21420.0,21330.0,20940.0,0.013770682701753065,-400.0,500.0,-0.4971556628167557
2022-03-11,19210.0,20700.0,1182700,24786000000,0,0,21300.0,21300.0,20550.0,-600.0,-2.82,-0.028169014084507005,21190.0,21270.0,20945.0,0.012665583993852175,-600.0,750.0,1.0272540281110731
2022-03-14,18420.0,19850.0,1544800,30974000000,0,0,20400.0,20400.0,19700.0,-850.0,-4.11,-0.04106280193236711,20860.0,21145.0,20947.5,0.018777160792763783,-550.0,700.0,0.3061638623488627
2022-03-15,18510.0,19950.0,807100,16086000000,0,0,20000.0,20100.0,19800.0,50.0,0.25,0.005037783375314797,20600.0,21010.0,20950.0,0.02102512165504531,-50.0,300.0,-0.47753754531330916
2022-03-16,18600.0,20050.0,780300,15629000000,0,0,20000.0,20250.0,19850.0,50.0,0.25,0.005012531328320913,20370.0,20910.0,20947.5,0.02213100149095982,50.0,400.0,-0.033205302936439085
2022-03-17,18840.0,20300.0,861800,17427000000,0,0,20300.0,20350.0,20100.0,200.0,1.0,0.012468827930174564,20170.0,20795.0,20945.0,0.023712911502584973,0.0,250.0,0.10444700756119452
