Ngay,GiaDieuChinh,GiaDongCua,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat,Price_change,%Price_change,Return,MA5,MA10,MA20,Volatility_5,OpenCloseGap,HighLowRange,VolumeChange
2022-02-14,31790.0,46200.0,18246700,853219000000,350000,16600000000,46500.0,47500.0,46150.0,-1000.0,-2.12,-0.020148462354188768,46640.0,44730.0,44590.0,0.03253216117789355,-300.0,1350.0,0.05208927943355657
2022-02-15,31650.0,46000.0,15564400,714708000000,307700,14701900000,46200.0,46550.0,45400.0,-200.0,-0.43,-0.0043290043290042934,46730.0,45005.0,44635.0,0.021953754150370323,-200.0,1150.0,-0.14700192363550668
2022-02-16,31650.0,46000.0,9350300,430845000000,491200,21121600000,46100.0,46500.0,45600.0,0.0,0.0,0.0,46470.0,45260.0,44625.0,0.008978406928005882,-100.0,900.0,-0.39925085451414766
2022-02-17,31990.0,46500.0,11353300,526739000000,1020300,47395770000,46000.0,46750.0,46000.0,500.0,1.09,0.010869565217391353,46370.0,45695.0,44615.0,0.011525336631257196,500.0,750.0,0.21421772563447172
2022-02-18,32370.0,47050.0,21375700,1007382000000,1759800,82167800000,46200.0,47650.0,46050.0,550.0,1.18,0.011827956989247213,46350.0,46180.0,44655.0,0.013058667502901878,850.0,1600.0,0.8827741713862929
2022-02-21,32100.0,46650.0,12177300,571793000000,0,0,47100.0,47500.0,46550.0,-450.0,-0.96,-0.008501594048884176,46440.0,46540.0,44752.5,0.009077364116838862,-450.0,950.0,-0.4303204105596542
2022-02-22,31920.0,46400.0,17669600,814579000000,3465300,157415070000,46300.0,46600.0,45700.0,-300.0,-0.64,-0.005359056806002127,46520.0,46625.0,44872.5,0.009265885639256271,100.0,900.0,0.4510277319274387
2022-02-23,32130.000000000004,46700.0,12981100,605308000000,0,0,46650.0,47200.0,46250.0,300.0,0.65,0.006465517241379226,46660.0,46565.0,45030.0,0.009407641835817812,50.0,950.0,-0.2653427355457961
2022-02-24,31650.0,46000.0,22445800,1031668000000,156700,7166550000,46750.0,46850.0,45100.0,-700.0,-1.5,-0.01498929336188437,46560.0,46465.0,45130.0,0.011012392731997353,-750.0,1750.0,0.7291138655429816
2022-02-25,31580.0,45900.0,12775700,588315000000,2623320,121657925000,46100.0,46350.0,45900.0,-100.0,-0.22,-0.0021739130434782483,46330.0,46340.0,45260.0,0.00793066682148016,-200.0,450.0,-0.4308200197809835
