Ngay,GiaDieuChinh,GiaDongCua,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat,Price_change,%Price_change,Return,MA5,MA10,MA20,Volatility_5,OpenCloseGap,HighLowRange,VolumeChange
2022-02-14,65050.0,132000.0,957300,127560000000,453000,65549100000,133900.0,135000.0,132000.0,-3300.0,-2.44,-0.024390243902439046,135380.0,133770.0,133140.0,0.01568834971376582,-1900.0,3000.0,0.7678670360110804
2022-02-15,65690.0,133300.0,572400,76125000000,710500,100322600000,132700.0,133900.0,131500.0,1300.0,0.98,0.009848484848484773,134780.0,134000.0,133215.0,0.013254083062403256,600.0,2400.0,-0.4020683171419618
2022-02-16,65500.0,132900.0,562000,74466000000,0,0,134200.0,134200.0,131600.0,-400.0,-0.3,-0.0030007501875468634,133960.0,134100.0,133060.0,0.012257150427102438,-1300.0,2600.0,-0.018169112508735097
2022-02-17,66290.0,134500.0,1031400,137290000000,27700,3938940000,132000.0,134500.0,131900.0,1600.0,1.2,0.012039127163280705,133600.0,134400.0,133010.0,0.014719679908229175,2500.0,2600.0,0.8352313167259786
2022-02-18,66040.0,134000.0,467800,62189000000,0,0,132100.0,134000.0,132100.0,-500.0,-0.37,-0.0037174721189591198,133340.0,134550.0,133010.0,0.014514100941008324,1900.0,1900.0,-0.546441729687803
2022-02-21,65990.0,133900.0,612100,81932000000,0,0,132500.0,134900.0,132500.0,-100.0,-0.07,-0.0007462686567164534,133720.0,134550.0,133205.0,0.007478451879560213,1400.0,2400.0,0.3084651560495939
2022-02-22,67860.0,137700.0,3272600,447105000000,466800,66845760000,133000.0,139200.0,132400.0,3800.0,2.84,0.028379387602688544,134600.0,134690.0,133585.0,0.013752433458757155,4700.0,6800.0,4.346512007841856
2022-02-23,67910.0,137800.0,1609600,223403000000,329200,48130660000,137700.0,140600.0,136900.0,100.0,0.07,0.000726216412490821,135580.0,134770.0,133880.0,0.013192186307739601,100.0,3700.0,-0.5081586506141906
2022-02-24,67420.0,136800.0,1174200,160423000000,50000,7370000000,137000.0,137700.0,135500.0,-1000.0,-0.73,-0.007256894049346929,136040.0,134820.0,134085.0,0.014252268480311699,-200.0,2200.0,-0.27050198807157055
2022-02-25,67810.0,137600.0,2690300,371840000000,25000,3657500000,136900.0,139800.0,136000.0,800.0,0.58,0.005847953216374213,136760.0,135050.0,134305.0,0.013675436582956271,700.0,3800.0,1.2911769715551014
2022-02-28,67020.0,136000.0,1802000,245832000000,322400,47457280000,136500.0,138000.0,135500.0,-1600.0,-1.16,-0.011627906976744207,137180.0,135450.0,134610.0,0.015623262579463443,-500.0,2500.0,-0.33018622458461877
