Ngay,GiaDieuChinh,GiaDongCua,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat,Price_change,%Price_change,Return,MA5,MA10,MA20,Volatility_5,OpenCloseGap,HighLowRange,VolumeChange
2022-02-14,73110.0,104600.0,533200,55916000000,0,0,105000.0,105100.0,104100.0,-200.0,-0.19,-0.001908396946564861,104200.0,103130.0,98580.0,0.014238711392322167,-400.0,1000.0,-0.003178164142830453
2022-02-15,73740.0,105500.0,619800,64889000000,0,0,103900.0,105900.0,103700.0,900.0,0.86,0.008604206500955947,104300.0,103980.0,99150.0,0.011679120824065298,1600.0,2200.0,0.1624156039009752
2022-02-16,74300.0,106300.0,758900,80238000000,0,0,105000.0,106600.0,104500.0,800.0,0.76,0.007582938388625671,104900.0,104510.0,99830.0,0.006710930896712777,1300.0,2100.0,0.22442723459180391
2022-02-17,75420.0,107900.0,924600,99177000000,100000,10790000000,106500.0,107900.0,106300.0,1600.0,1.51,0.015051740357478804,105820.0,105200.0,100520.0,0.0068555976717362506,1400.0,1600.0,0.218342337593886
2022-02-18,74790.0,107000.0,570600,61481000000,0,0,107000.0,108900.0,107000.0,-900.0,-0.83,-0.008341056533827662,106260.0,105500.0,101175.0,0.009262723219096915,0.0,1900.0,-0.3828682673588579
2022-02-21,74440.0,106500.0,693400,73527000000,20000,2000000000,107000.0,107000.0,104900.0,-500.0,-0.47,-0.004672897196261627,106640.0,105420.0,101825.0,0.009786058686384219,-500.0,2100.0,0.21521205748335093
2022-02-22,76880.0,110000.0,2820800,309065000000,50000,5495500000,106400.0,113000.0,105100.0,3500.0,3.29,0.032863849765258246,107540.0,105920.0,102660.0,0.016541688526464964,3600.0,7900.0,3.068070377848284
2022-02-23,76600.0,109600.0,1149100,127798000000,0,0,110000.0,113500.0,109000.0,-400.0,-0.36,-0.0036363636363636598,108200.0,106550.0,103525.0,0.017433562357423257,-400.0,4500.0,-0.5926332955190017
2022-02-24,76180.0,109000.0,1782700,196378000000,0,0,109900.0,112800.0,109000.0,-600.0,-0.55,-0.005474452554744547,108420.0,107120.0,104275.0,0.01725955545336698,-900.0,3800.0,0.5513880428161169
2022-02-25,75350.0,107800.0,1606000,173448000000,0,0,109000.0,110000.0,106400.0,-1200.0,-1.1,-0.011009174311926606,108580.0,107420.0,104890.0,0.017700531024284684,-1200.0,3600.0,-0.09911931340102087
2022-02-28,71990.0,103000.0,2289000,240880000000,0,0,107000.0,108700.0,103000.0,-4800.0,-4.45,-0.04452690166975881,107880.0,107260.0,105195.0,0.027500181486066595,-4000.0,5700.0,0.4252801992528019
2022-03-01,73390.0,105000.0,1145900,118729000000,316333,30367968000,102100.0,106000.0,102100.0,2000.0,1.94,0.01941747572815533,106880.0,107210.0,105595.0,0.022994227557572855,2900.0,3900.0,-0.499388379204893
2022-03-02,72270.0,103400.0,1214800,125059000000,0,0,105000.0,105000.0,100800.0,-1600.0,-1.52,-0.015238095238095273,105640.0,106920.0,105715.0,0.022897044321254577,-1600.0,4200.0,0.060127410768828105
2022-03-03,72690.0,104000.0,833500,86531000000,0,0,104000.0,105000.0,102000.0,600.0,0.58,0.005802707930367523,104640.0,106530.0,105865.0,0.02414395920440775,0.0,3000.0,-0.31387882779058285
2022-03-04,74230.0,106200.0,1595700,168223000000,0,0,102700.0,106900.0,102700.0,2200.0,2.12,0.02115384615384608,104320.0,106450.0,105975.0,0.027555289460112736,3500.0,4200.0,0.9144571085782844
2022-03-07,75910.0,108000.0,3113000,341968000000,222800,24508000000,107200.0,112000.0,107200.0,2400.0,2.27,0.016949152542372836,105320.0,106600.0,106010.0,0.015126410577744729,800.0,4800.0,0.9508679576361472
2022-03-08,74500.0,106000.0,1354300,145451000000,220010,23735067000,109000.0,110000.0,105500.0,-2000.0,-1.85,-0.01851851851851849,105520.0,106200.0,106060.0,0.01818629054892498,-3000.0,4500.0,-0.5649534211371667
2022-03-09,77670.0,110500.0,2295500,253209000000,720050,79590500000,107000.0,112000.0,106600.0,4500.0,4.25,0.04245283018867929,106940.0,106290.0,106420.0,0.02232238283080077,3500.0,5400.0,0.6949715720298308
2022-03-10,76120.0,108300.0,1106500,119962000000,851100,92560046000,109500.0,109500.0,107200.0,-2200.0,-1.99,-0.01990950226244348,107800.0,106220.0,106670.0,0.027024873428772026,-1200.0,2300.0,-0.5179699411892833
2022-03-11,73450.0,104500.0,1323700,139521000000,0,0,107000.0,108000.0,103600.0,-3800.0,-3.51,-0.03508771929824561,107460.0,105890.0,106655.0,0.031702321632840924,-2500.0,4400.0,0.1962946226841391
2022-03-14,69230.0,98500.0,1989500,200726000000,0,0,103800.0,103800.0,98500.0,-6000.0,-5.74,-0.0574162679425837,105560.0,105440.0,106350.0,0.03709322541748745,-5300.0,5300.0,0.5029840598322883
2022-03-15,72330.0,102900.0,818900,81945000000,0,0,99500.0,103000.0,98600.0,4400.0,4.47,0.044670050761421276,104940.0,105230.0,106220.0,0.04635163805143277,3400.0,4400.0,-0.5883890424729832
2022-03-16,72260.0,102800.0,594800,60915000000,0,0,102400.0,103600.0,100500.0,-100.0,-0.1,-0.0009718172983479434,103400.0,105170.0,106045.0,0.03865282891232081,400.0,3100.0,-0.27365978751984366
2022-03-17,72400.0,103000.0,690300,71002000000,0,0,102800.0,103300.0,102000.0,200.0,0.19,0.0019455252918287869,102340.0,105070.0,105800.0,0.03901519767925971,200.0,1300.0,0.16055817081371893
2022-03-18,72750.0,103500.0,678700,70794000000,0,0,102400.0,105500.0,102400.0,500.0,0.49,0.004854368932038833,102140.0,104800.0,105625.0,0.03643749278495307,1100.0,3100.0,-0.01680428799072864
2022-03-21,74220.0,105600.0,710800,74550000000,400000,42240000000,103600.0,105900.0,103500.0,2100.0,2.03,0.020289855072463725,103560.0,104560.0,105580.0,0.0189288031086968,2000.0,2400.0,0.04729630175335209
2022-03-22,75210.0,107000.0,931800,100642000000,300000,32610000000,106600.0,109700.0,106400.0,1400.0,1.33,0.01325757575757569,104380.0,104660.0,105430.0,0.008741421607477241,400.0,3300.0,0.31091727630838495
2022-03-23,73870.0,105100.0,506500,54165000000,426000,45672040000,108000.0,109400.0,104100.0,-1900.0,-1.78,-0.017757009345794383,104840.0,104120.0,105205.0,0.014387828261825336,-2900.0,5300.0,-0.4564284181154754
2022-03-24,75210.0,107000.0,582700,62358000000,200000,21540000000,107000.0,108900.0,105300.0,1900.0,1.81,0.01807802093244537,105640.0,103990.0,105105.0,0.015437304084169719,0.0,3600.0,0.15044422507403743
2022-03-25,76050.0,108200.0,651600,70412000000,48000,5186880000,107000.0,109500.0,106600.0,1200.0,1.12,0.01121495327102795,106580.0,104360.0,105125.0,0.015401626692449301,1200.0,2900.0,0.11824266346318857
