Ngay,GiaDieuChinh,GiaDongCua,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat,Price_change,%Price_change,Return,MA5,MA10,MA20,Volatility_5,OpenCloseGap,HighLowRange,VolumeChange
2022-02-14,29590.0,43600.0,10485300,463135000000,0,0,44500.0,44700.0,43600.0,-1500.0,-3.33,-0.03325942350332589,45030.0,44470.0,45165.0,0.01419207741082276,-900.0,1100.0,0.8866597092270045
2022-02-15,30000.0,44200.0,5733800,252356000000,0,0,44200.0,44700.0,43350.0,600.0,1.38,0.013761467889908285,44740.0,44610.0,44970.0,0.017820562359662454,0.0,1350.0,-0.4531582310472757
2022-02-16,30470.0,44900.0,4864700,218038000000,0,0,44700.0,45100.0,44300.0,700.0,1.58,0.015837104072398134,44580.0,44855.0,44690.0,0.02038611012128813,200.0,800.0,-0.15157487181275942
2022-02-17,30540.0,45000.0,5870700,263913000000,0,0,44800.0,45150.0,44800.0,100.0,0.22,0.00222717149220486,44560.0,45015.0,44497.5,0.019690926341958577,200.0,350.0,0.20679589697206402
2022-02-18,30670.0,45200.0,9386200,422959000000,0,0,44500.0,45800.0,44400.0,200.0,0.44,0.004444444444444473,44580.0,45030.0,44322.5,0.01980707925518539,700.0,1400.0,0.598821264925818
2022-02-21,31220.0,46000.0,10975700,504711000000,0,0,45300.0,46400.0,45300.0,800.0,1.77,0.017699115044247815,45060.0,45045.0,44357.5,0.006993332261426883,700.0,1100.0,0.1693443566086381
2022-02-22,30540.0,45000.0,7703800,347156000000,0,0,45300.0,45700.0,44500.0,-1000.0,-2.17,-0.021739130434782594,45220.0,44980.0,44492.5,0.015757197561973482,-300.0,1200.0,-0.29810399336716564
2022-02-23,30740.0,45300.0,5632600,255887000000,0,0,45200.0,45600.0,45200.0,300.0,0.67,0.006666666666666599,45300.0,44940.0,44565.0,0.014471651033122004,100.0,400.0,-0.268854331628547
2022-02-24,30270.0,44600.0,12752500,571305000000,0,0,45100.0,46000.0,43450.0,-700.0,-1.55,-0.015452538631346546,45220.0,44890.0,44545.0,0.01639189761264821,-500.0,2550.0,1.264052125128715
2022-02-25,31010.0,45700.0,15679600,718200000000,0,0,45000.0,46550.0,44800.0,1100.0,2.47,0.024663677130044803,45320.0,44950.0,44602.5,0.02030605929416264,700.0,1750.0,0.2295314644187414
2022-02-28,31010.0,45700.0,7527000,346144000000,0,0,45800.0,46600.0,45650.0,0.0,0.0,0.0,45260.0,45160.0,44815.0,0.018420376824664225,-100.0,950.0,-0.5199494885073599
2022-03-01,31220.0,46000.0,8804700,403215000000,0,0,46000.0,46300.0,45400.0,300.0,0.66,0.006564551422319376,45460.0,45340.0,44975.0,0.014438523346479376,0.0,900.0,0.16974890394579512
2022-03-02,30400.0,44800.0,12606700,569532000000,0,0,45600.0,45850.0,44550.0,-1200.0,-2.61,-0.02608695652173909,45360.0,45330.0,45092.5,0.019681438666225,-800.0,1300.0,0.4318148261723853
2022-03-03,30880.0,45500.0,8443700,379290000000,0,0,45000.0,45500.0,44500.0,700.0,1.56,0.015625,45540.0,45380.0,45197.5,0.019299045440827476,500.0,1000.0,-0.3302212315673412
2022-03-04,31620.0,46600.0,20515200,960997000000,0,0,46000.0,47400.0,45950.0,1100.0,2.42,0.02417582417582409,45720.0,45520.0,45275.0,0.019170230042151872,600.0,1450.0,1.4296457714035316
2022-03-07,31760.0,46800.0,11608800,539190000000,0,0,46100.0,46850.0,45750.0,200.0,0.43,0.0042918454935623185,45940.0,45600.0,45322.5,0.019038868749591743,700.0,1100.0,-0.4341366401497426
2022-03-08,31900.0,47000.0,24333500,1157760000000,0,0,46500.0,48200.0,46100.0,200.0,0.43,0.004273504273504258,46140.0,45800.0,45390.0,0.019016772011069275,500.0,2100.0,1.096125353180346
2022-03-09,31620.0,46600.0,12310400,575243000000,0,0,47300.0,47500.0,45900.0,-400.0,-0.85,-0.008510638297872353,46500.0,45930.0,45435.0,0.012450221845649789,-700.0,1600.0,-0.49409661577660424
2022-03-10,31620.0,46600.0,8503400,400971000000,0,0,47800.0,47800.0,46600.0,0.0,0.0,0.0,46720.0,46130.0,45510.0,0.012001671173267345,-1200.0,1200.0,-0.3092507148427346
2022-03-11,30540.0,45000.0,16762700,763103000000,0,0,46200.0,46500.0,44700.0,-1600.0,-3.43,-0.03433476394849788,46400.0,46060.0,45505.0,0.01622471383843019,-1200.0,1800.0,0.9712938354070138
2022-03-14,29320.0,43200.0,16641300,726104000000,20099,873301550,44600.0,44800.0,42900.0,-1800.0,-4.0,-0.040000000000000036,45680.0,45810.0,45485.0,0.020216708363382588,-1400.0,1900.0,-0.007242270040029308
2022-03-15,29380.0,43300.0,7812500,339199000000,0,0,43050.0,44100.0,43000.0,100.0,0.23,0.0023148148148148806,44940.0,45540.0,45440.0,0.019746077109446935,250.0,1100.0,-0.5305354749929392
2022-03-16,29720.0,43800.0,7098600,311417000000,0,0,43500.0,44450.0,43400.0,500.0,1.15,0.011547344110854452,44380.0,45440.0,45385.0,0.023378346537934632,300.0,1050.0,-0.0913792
2022-03-17,29720.0,43800.0,4717000,208133000000,0,0,44450.0,44450.0,43800.0,0.0,0.0,0.0,43820.0,45270.0,45325.0,0.023378346537934632,-650.0,650.0,-0.33550277519510885
2022-03-18,29720.0,43800.0,7818900,343892000000,0,0,43950.0,44500.0,43700.0,0.0,0.0,0.0,43580.0,44990.0,45255.0,0.020012884452496993,-150.0,800.0,0.6576001695993217
2022-03-21,30060.0,44300.0,6957300,306203000000,0,0,44300.0,44450.0,43800.0,500.0,1.14,0.011415525114155223,43800.0,44740.0,45170.0,0.0059418321078149585,0.0,650.0,-0.11019452864213641
2022-03-22,30100.0,44350.0,6005800,267549000000,0,0,44300.0,44800.0,44200.0,50.0,0.11,0.0011286681715576563,44010.0,44475.0,45137.5,0.00610018087153659,50.0,600.0,-0.13676282465899126
2022-03-23,30000.0,44200.0,6329400,281290000000,0,0,44500.0,44700.0,44200.0,-200.0,-0.45,-0.0033821871476887866,44090.0,44235.0,45082.5,0.005617802597118204,-300.0,500.0,0.05388124812681072
2022-03-24,29720.0,43800.0,7095000,312169000000,0,0,44450.0,44450.0,43750.0,-400.0,-0.9,-0.009049773755656076,44090.0,43955.0,45042.5,0.007498719577074834,-650.0,700.0,0.12095933263816483
2022-03-25,29490.0,43450.0,7927800,345521000000,0,0,43750.0,43950.0,43300.0,-350.0,-0.8,-0.007990867579908634,44020.0,43800.0,44930.0,0.008312115954562977,-300.0,650.0,0.11737843551797034
2022-03-28,28670.0,42250.0,10391600,443086000000,0,0,42900.0,43250.0,41800.0,-1250.0,-2.87,-0.027617951668584606,43610.0,43705.0,44757.5,0.010966625001907824,-650.0,1450.0,0.3107797875829359
2022-03-29,28940.0,42650.0,4100800,175163000000,0,0,42900.0,42900.0,42600.0,350.0,0.83,0.00946745562130169,43270.0,43640.0,44590.0,0.013341619624807241,-250.0,300.0,-0.605373570961161
2022-03-30,28710.0,42300.0,6997900,298873000000,0,0,42100.0,43200.0,42050.0,-400.0,-0.94,-0.008206330597889777,42890.0,43490.0,44465.0,0.013122615559329516,200.0,1150.0,0.7064719079204058
