Ngay,GiaDieuChinh,GiaDongCua,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat,Price_change,%Price_change,Return,MA5,MA10,MA20,Volatility_5,OpenCloseGap,HighLowRange,VolumeChange
2022-02-14,24970.0,51500.0,18771500,984180000000,2846840,151422150000,53200.0,53200.0,51500.0,-2200.0,-4.1,-0.040968342644320255,53240.0,52800.0,51115.0,0.022024690889684395,-1700.0,1700.0,1.3919442391498253
2022-02-15,25120.0,51800.0,8584300,443323000000,3498500,178662850000,51600.0,52100.0,51300.0,300.0,0.58,0.005825242718446644,52840.0,52790.0,51282.5,0.019078222861519833,200.0,800.0,-0.5426950430173401
2022-02-16,25020.0,51600.0,6174400,319404000000,480000,26160000000,52200.0,52200.0,51500.0,-200.0,-0.39,-0.0038610038610038533,52440.0,52710.0,51342.5,0.019071405328409057,-600.0,700.0,-0.28073343196300227
2022-02-17,25310.0,52200.0,7301000,379592000000,689000,34361000000,51600.0,52500.0,51600.0,600.0,1.16,0.011627906976744207,52160.0,52740.0,51427.5,0.020831331420649805,600.0,900.0,0.18246307333506095
2022-02-18,25020.0,51600.0,6543700,338206000000,78900,4220030000,51700.0,52000.0,51500.0,-600.0,-1.15,-0.011494252873563204,51740.0,52620.0,51520.0,0.020569331543736465,-100.0,500.0,-0.10372551705245858
2022-02-21,24970.0,51500.0,8654200,443155000000,3549000,179674000000,51600.0,51700.0,50800.0,-100.0,-0.19,-0.0019379844961240345,51740.0,52490.0,51665.0,0.008943119465384376,-100.0,900.0,0.32252395433776004
2022-02-22,24920.0,51400.0,10561000,539136000000,271900,13866900000,51000.0,51700.0,50600.0,-100.0,-0.19,-0.001941747572815511,51660.0,52250.0,51797.5,0.008339455158400023,400.0,1100.0,0.22033232418941084
2022-02-23,25070.0,51700.0,6188300,320334000000,585000,29250000000,51700.0,52200.0,51400.0,300.0,0.58,0.005836575875486361,51680.0,52060.0,51942.5,0.008775588569622813,0.0,800.0,-0.41404223084935143
2022-02-24,24490.0,50500.0,15534300,788566000000,1268500,65592000000,51500.0,51900.0,49800.0,-1200.0,-2.32,-0.023210831721469982,51340.0,51750.0,52020.0,0.01115754104708714,-1000.0,2100.0,1.5102693793125739
2022-02-25,24580.0,50700.0,6665900,339171000000,0,0,51000.0,51300.0,50500.0,200.0,0.4,0.003960396039603964,51160.0,51450.0,52065.0,0.01157805648087091,-300.0,800.0,-0.5708915110433042
2022-02-28,24440.0,50400.0,7106100,358589000000,459000,23021100000,50500.0,50900.0,50200.0,-300.0,-0.59,-0.00591715976331364,50940.0,51340.0,52070.0,0.011584149762330954,-100.0,700.0,0.0660375943233471
2022-03-01,24390.0,50300.0,6945900,349846000000,105000,5659500000,50700.0,50700.0,50100.0,-100.0,-0.2,-0.001984126984126977,50720.0,51190.0,51990.0,0.011582049785927017,-400.0,600.0,-0.02254401148309204
2022-03-02,23860.0,49200.0,17893700,886636000000,880900,45701620000,50100.0,50100.0,49200.0,-1100.0,-2.19,-0.021868787276341894,50220.0,50950.0,51830.0,0.012155438783978581,-900.0,900.0,1.5761528383650787
2022-03-03,24080.0,49650.0,7391900,365219000000,730000,34540000000,49500.0,49900.0,49150.0,450.0,0.91,0.009146341463414531,50050.0,50695.0,51717.5,0.011842722856744689,150.0,750.0,-0.5868992997535445
2022-03-04,24220.0,49950.0,7022700,351033000000,289000,13380700000,49750.0,50400.0,49500.0,250.0,0.5,0.0060422960725075026,49900.0,50530.0,51575.0,0.012194616050484379,200.0,900.0,-0.049946563129912525
2022-03-07,23880.0,49250.0,8122400,400842000000,680000,34350000000,49500.0,49600.0,49100.0,-750.0,-1.5,-0.014014014014014031,49670.0,50305.0,51397.5,0.013189741614609925,-250.0,500.0,0.15659219388554257
2022-03-08,23760.0,49000.0,8766400,430258000000,590100,29786000000,49000.0,49500.0,48800.0,-300.0,-0.61,-0.005076142131979711,49410.0,50065.0,51157.5,0.013112463875682217,0.0,700.0,0.07928691027282575
2022-03-09,23810.0,49100.0,6957800,340991000000,5079670,250337708000,49000.0,49350.0,48900.0,100.0,0.2,0.0020408163265306367,49390.0,49805.0,50932.5,0.009297811575893747,100.0,450.0,-0.20631045811279436
