Ngay,GiaDieuChinh,GiaDongCua,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat,Price_change,%Price_change,Return,MA5,MA10,MA20,Volatility_5,OpenCloseGap,HighLowRange,VolumeChange
2022-02-14,22960.0,68000.0,4523800,315963000000,294000,19890000000,69700.0,71000.0,68000.0,-3500.0,-4.9,-0.04895104895104896,70500.0,68250.0,68165.0,0.028595109219712908,-1700.0,3000.0,0.4188307615104754
2022-02-15,23740.0,70300.0,4099300,283398000000,284200,18271860000,69000.0,70600.0,67500.0,2300.0,3.38,0.03382352941176481,70560.0,69010.0,68030.0,0.03387607057773938,1300.0,3100.0,-0.09383703965692558
2022-02-16,24140.0,71500.0,2751100,197423000000,407000,26644800000,71000.0,73000.0,70500.0,1200.0,1.71,0.017069701280227667,70460.0,69870.0,67785.0,0.031895512510464984,500.0,2500.0,-0.32888541946185934
2022-02-17,24010.0,71100.0,2532600,180945000000,1714000,115903460000,71500.0,71900.0,70700.0,-400.0,-0.56,-0.005594405594405605,70480.0,70480.0,67695.0,0.03126580914295088,-400.0,1200.0,-0.07942277634400785
2022-02-18,24350.0,72100.0,4821000,344879000000,951500,63387100000,70100.0,72900.0,69800.0,1000.0,1.41,0.014064697609001309,70600.0,70790.0,67700.0,0.03177672185703758,2000.0,3100.0,0.9035773513385454
2022-02-21,25360.0,75100.0,5775200,431940000000,150200,10078420000,72600.0,76000.0,72500.0,3000.0,4.16,0.04160887656033285,72020.0,71260.0,68105.0,0.018416924704747803,2500.0,3500.0,0.19792574154739673
2022-02-22,24820.0,73500.0,4542100,334325000000,193100,13497690000,73700.0,74800.0,72500.0,-1600.0,-2.13,-0.02130492676431428,72660.0,71610.0,68660.0,0.02390268229721357,-200.0,2300.0,-0.21351641501593022
2022-02-23,25120.0,74400.0,2332300,173327000000,221000,15116400000,74100.0,74900.0,73800.0,900.0,1.22,0.012244897959183598,73240.0,71850.0,69190.0,0.023599444730613626,300.0,1100.0,-0.48651504810550183
2022-02-24,25660.0,76000.0,9603700,724507000000,484000,35146600000,74100.0,77400.0,72000.0,1600.0,2.15,0.021505376344086002,74220.0,72350.0,69675.0,0.02273431036269868,1900.0,5400.0,3.1176949792050763
2022-02-25,26370.0,78100.0,11134100,878288000000,218000,15412600000,77000.0,81000.0,76600.0,2100.0,2.76,0.02763157894736845,75420.0,73010.0,70290.0,0.023593470081924268,1100.0,4400.0,0.15935524849797478
