Ngay,GiaDieuChinh,GiaDongCua,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat,Price_change,%Price_change,Return,MA5,MA10,MA20,Volatility_5,OpenCloseGap,HighLowRange,VolumeChange
2022-02-14,70020.0,81100.0,2971800,241633000000,60000,4920000000,81500.0,82000.0,81000.0,-900.0,-1.1,-0.01097560975609757,82120.0,81920.0,82480.0,0.0105466485327774,-400.0,1000.0,0.8292502769912593
2022-02-15,70110.0,81200.0,1465300,119013000000,0,0,81100.0,81500.0,81000.0,100.0,0.12,0.0012330456226881115,81960.0,82120.0,82355.0,0.008240326207585712,100.0,500.0,-0.5069318258294636
2022-02-16,69420.0,80400.0,2825100,227741000000,0,0,81200.0,81300.0,80300.0,-800.0,-0.99,-0.009852216748768461,81480.0,82190.0,82220.0,0.005496464412218265,-800.0,1000.0,0.928001091926568
2022-02-17,69760.0,80800.0,1787700,144301000000,300000,24213000000,80500.0,81200.0,80400.0,400.0,0.5,0.004975124378109541,81100.0,81960.0,82105.0,0.00722622369854551,300.0,800.0,-0.3672082404162684
2022-02-18,69590.0,80600.0,1808100,145421000000,0,0,80100.0,80800.0,80100.0,-200.0,-0.25,-0.0024752475247524774,80820.0,81710.0,81900.0,0.006918853771146308,500.0,700.0,0.011411310622587711
2022-02-21,69940.0,81000.0,1280600,103835000000,0,0,80900.0,81600.0,80900.0,400.0,0.5,0.00496277915632759,80800.0,81460.0,81805.0,0.006201349868584785,100.0,700.0,-0.29174271334550084
2022-02-22,69070.0,80000.0,3204500,257120000000,0,0,80900.0,81000.0,79700.0,-1000.0,-1.23,-0.012345679012345734,80560.0,81260.0,81635.0,0.008086476316590221,-900.0,1300.0,1.5023426518819303
2022-02-23,69070.0,80000.0,2200300,175984000000,0,0,80000.0,80500.0,79800.0,0.0,0.0,0.0,80480.0,80980.0,81495.0,0.007126620822449846,0.0,700.0,-0.31337182087689186
2022-02-24,67860.0,78600.0,2723500,215468000000,0,0,80000.0,80000.0,78500.0,-1400.0,-1.75,-0.01749999999999996,80040.0,80570.0,81270.0,0.009215858233468443,-1400.0,1500.0,0.2377857564877517
2022-02-25,68120.0,78900.0,1347700,106538000000,0,0,79000.0,79500.0,78900.0,300.0,0.38,0.003816793893129722,79700.0,80260.0,81085.0,0.010113193347863175,-100.0,600.0,-0.5051588030108316
2022-02-28,67690.0,78400.0,2258900,176707000000,21600,1708776000,78900.0,79000.0,77800.0,-500.0,-0.63,-0.006337135614702172,79180.0,79990.0,80955.0,0.008716093363255517,-500.0,1200.0,0.6761148623580915
2022-03-01,68380.0,79200.0,1273100,100436000000,139400,10997266000,78400.0,79400.0,78200.0,800.0,1.02,0.010204081632652962,79020.0,79790.0,80955.0,0.010557327940356645,800.0,1200.0,-0.436407100801275
2022-03-02,67780.0,78500.0,2037100,160345000000,355200,27883200000,79200.0,79200.0,78000.0,-700.0,-0.88,-0.008838383838383868,78720.0,79600.0,80895.0,0.010881387391450977,-700.0,1200.0,0.6001099677951458
2022-03-03,67690.0,78400.0,1486600,116838000000,446600,34823794000,78700.0,79000.0,78200.0,-100.0,-0.13,-0.001273885350318471,78680.0,79360.0,80660.0,0.007704069496985215,-300.0,800.0,-0.2702371017623092
2022-03-04,67260.0,77900.0,2511600,195987000000,608800,47500954000,78400.0,78400.0,77800.0,-500.0,-0.64,-0.0063775510204081565,78480.0,79090.0,80400.0,0.007629353658306728,-500.0,600.0,0.6894928023678193
2022-03-07,66310.0,76800.0,3530800,272044000000,669000,51539760000,77900.0,77900.0,76700.0,-1100.0,-1.41,-0.014120667522464658,78160.0,78670.0,80065.0,0.009228288317034719,-1100.0,1200.0,0.4057971014492754
2022-03-08,65700.0,76100.0,2383000,181674000000,0,0,76300.0,76500.0,76000.0,-700.0,-0.91,-0.00911458333333337,77540.0,78280.0,79770.0,0.00467080282649916,-200.0,500.0,-0.32508213436048483
2022-03-09,64840.0,75100.0,3003700,227188000000,189080,14314632000,76000.0,76800.0,75000.0,-1000.0,-1.31,-0.013140604467805517,76860.0,77790.0,79385.0,0.005238316153968633,-900.0,1800.0,0.26046999580360897
2022-03-10,66570.0,77100.0,2971800,228130000000,0,0,76000.0,77900.0,76000.0,2000.0,2.66,0.026631158455392878,76600.0,77640.0,79105.0,0.016978300479562985,1100.0,1900.0,-0.010620235043446447
2022-03-11,67350.0,78000.0,2322900,181099000000,0,0,77200.0,78500.0,77100.0,900.0,1.17,0.011673151750972721,76620.0,77550.0,78905.0,0.01802693575756906,800.0,1400.0,-0.21835251362810415
2022-03-14,66650.0,77200.0,1654700,128018000000,527610,40779451500,78000.0,78000.0,76900.0,-800.0,-1.03,-0.01025641025641022,76700.0,77430.0,78710.0,0.017318451404044886,-800.0,1100.0,-0.28765766929269443
2022-03-15,66650.0,77200.0,1482600,114028000000,796500,58768260000,77000.0,77500.0,76300.0,0.0,0.0,0.0,76920.0,77230.0,78510.0,0.016423344801578657,200.0,1200.0,-0.10400676859853752
2022-03-16,66740.0,77300.0,1850400,143290000000,600000,43080000000,77200.0,78000.0,77000.0,100.0,0.13,0.0012953367875647714,77360.0,77110.0,78355.0,0.013965563117644644,100.0,1000.0,0.24807770133549178
2022-03-17,65960.0,76400.0,1354400,104581000000,423000,32592150000,77600.0,77800.0,76400.0,-900.0,-1.16,-0.011642949547218673,77220.0,76910.0,78135.0,0.009522873809814517,-1200.0,1400.0,-0.26805015131863386
2022-03-18,65620.0,76000.0,4233000,322561000000,526000,39028600000,76600.0,77000.0,76000.0,-400.0,-0.52,-0.005235602094240788,76820.0,76720.0,77905.0,0.00583747391902296,-600.0,1000.0,2.1253691671588895
2022-03-21,67000.0,77600.0,1884100,145455000000,500000,38625000000,76000.0,77900.0,76000.0,1600.0,2.11,0.021052631578947434,76900.0,76800.0,77735.0,0.01226660194774773,1600.0,1900.0,-0.5549019607843138
2022-03-22,66400.0,76900.0,2390200,184310000000,110000,8470000000,77900.0,77900.0,76800.0,-700.0,-0.9,-0.009020618556700999,76840.0,76880.0,77580.0,0.01310257941681798,-1000.0,1100.0,0.268616315482193
2022-03-23,65700.0,76100.0,3226000,246664000000,0,0,76800.0,77000.0,75900.0,-800.0,-1.04,-0.01040312093628093,76600.0,76980.0,77385.0,0.013686390693823224,-700.0,1100.0,0.34967785122583894
2022-03-24,65269.99999999999,75600.0,3389800,255917000000,20008,1506602400,76000.0,76100.0,75200.0,-500.0,-0.66,-0.006570302233902758,76440.0,76830.0,77235.0,0.01306403331534558,-400.0,900.0,0.05077495350278993
2022-03-25,64930.00000000001,75200.0,2699500,203280000000,677000,51185700000,75600.0,75800.0,75100.0,-400.0,-0.53,-0.005291005291005346,76280.0,76550.0,77050.0,0.013067449292521965,-400.0,700.0,-0.20364033276299487
2022-03-28,63370.0,73400.0,4038700,299622000000,0,0,75300.0,75600.0,73400.0,-1800.0,-2.39,-0.02393617021276595,75440.0,76170.0,76800.0,0.007480370491528198,-1900.0,2200.0,0.49609186886460455
2022-03-29,65190.0,75500.0,2139300,159656000000,645640,48394378000,73500.0,75500.0,73500.0,2100.0,2.86,0.028610354223433276,75160.0,76000.0,76615.0,0.0194229104856106,2000.0,2000.0,-0.4702998489612994
2022-03-30,65790.0,76200.0,3413800,260113000000,92700,7065594000,75500.0,76600.0,75100.0,700.0,0.93,0.009271523178807861,75180.0,75890.0,76500.0,0.019670716937506025,700.0,1500.0,0.5957556209975226
2022-03-31,69850.0,80900.0,9645800,761706000000,0,0,76200.0,81000.0,76000.0,4700.0,6.17,0.061679790026246684,76240.0,76340.0,76625.0,0.03286509105080087,4700.0,5000.0,1.8255316655925946
