Ngay,GiaDieuChinh,GiaDongCua,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat,Price_change,%Price_change,Return
2022-01-11,21900.0,23600.0,1904600,45761000000,0,0,24000.0,24800.0,23400.0,-400.0,-1.67,-0.01666666666666672
2022-01-12,22730.0,24500.0,2198500,52772000000,0,0,23600.0,25000.0,23500.0,900.0,3.81,0.03813559322033888
2022-01-13,21940.0,23650.0,1327600,32086000000,0,0,24600.0,24800.0,23650.0,-850.0,-3.47,-0.03469387755102038
2022-01-14,21810.0,23500.0,1020900,24088000000,0,0,23500.0,23950.0,23250.0,-200.0,-0.84,-0.006342494714587699
2022-01-17,20320.0,21900.0,2557200,57058000000,0,0,23700.0,23700.0,21900.0,-1600.0,-6.81,-0.06808510638297871
2022-01-18,18930.0,20400.0,2481900,50810000000,0,0,20400.0,21100.0,20400.0,-1500.0,-6.85,-0.06849315068493156
2022-01-19,19020.0,20500.0,1006300,20819000000,0,0,21000.0,21200.0,20250.0,100.0,0.49,0.004901960784313708
2022-01-20,19760.0,21300.0,751600,15804000000,0,0,21350.0,21400.0,20650.0,300.0,1.43,0.039024390243902474
2022-01-21,19630.0,21150.0,807000,17073000000,0,0,21300.0,21500.0,20500.0,-350.0,-1.63,-0.007042253521126751
2022-01-24,18280.0,19700.0,1898200,37723000000,0,0,20650.0,20800.0,19700.0,-1500.0,-7.08,-0.0685579196217494
2022-01-25,17820.0,19200.0,1226900,23358000000,0,0,18400.0,19700.0,18400.0,-500.0,-2.54,-0.025380710659898442
2022-01-26,17490.0,18850.0,713300,13663000000,0,0,19500.0,19700.0,18850.0,-350.0,-1.82,-0.01822916666666663
2022-01-27,17630.0,19000.0,863300,16627000000,0,0,18800.0,19900.0,18600.0,100.0,0.53,0.007957559681697646
2022-01-28,17720.0,19100.0,760600,14546000000,0,0,19400.0,19400.0,18850.0,100.0,0.53,0.0052631578947368585
2022-02-07,18740.0,20200.0,675000,13466000000,0,0,20100.0,20250.0,19700.0,1100.0,5.76,0.05759162303664911
2022-02-08,18790.0,20250.0,741800,14864000000,0,0,20100.0,20400.0,19800.0,50.0,0.25,0.0024752475247524774
2022-02-09,19210.0,20700.0,938200,19357000000,0,0,20200.0,20950.0,20050.0,400.0,1.97,0.022222222222222143
2022-02-10,19110.0,20600.0,784400,16233000000,0,0,20800.0,20900.0,20450.0,-100.0,-0.48,-0.004830917874396157
2022-02-11,19110.0,20600.0,565700,11658000000,0,0,20350.0,20750.0,20300.0,0.0,0.0,0.0
2022-02-14,18370.0,19800.0,902400,18109000000,0,0,20400.0,20400.0,19500.0,-800.0,-3.88,-0.03883495145631066
2022-02-15,18470.0,19900.0,671600,13312000000,0,0,19700.0,20050.0,19600.0,100.0,0.51,0.005050505050504972
2022-02-16,18650.0,20100.0,619300,12490000000,0,0,20350.0,20400.0,20000.0,200.0,1.01,0.01005025125628145
2022-02-17,18880.0,20350.0,586700,11843000000,0,0,20100.0,20350.0,20100.0,250.0,1.24,0.01243781094527363
2022-02-18,19210.0,20700.0,1871900,38500000000,0,0,20200.0,20950.0,20050.0,300.0,1.47,0.017199017199017286
2022-02-21,19900.0,21450.0,1349000,28852000000,0,0,21000.0,21700.0,21000.0,750.0,3.62,0.03623188405797095
2022-02-22,19350.0,20850.0,1478300,30952000000,0,0,21100.0,21400.0,20500.0,-650.0,-3.02,-0.027972027972028024
2022-02-23,19630.0,21150.0,970500,20507000000,0,0,21000.0,21300.0,21000.0,250.0,1.2,0.014388489208633004
2022-02-24,19110.0,20600.0,2057300,43097000000,0,0,21100.0,21700.0,20000.0,-600.0,-2.83,-0.026004728132387744
2022-02-25,19760.0,21300.0,1228400,25997000000,0,0,21000.0,21450.0,20800.0,700.0,3.4,0.03398058252427183
2022-02-28,19580.0,21100.0,1001200,21234000000,0,0,21600.0,21600.0,21000.0,-200.0,-0.94,-0.009389671361502372
