Ngay,GiaDieuChinh,GiaDongCua,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat,Price_change,%Price_change,Return
2022-01-11,53230.0,89500.0,2509300,227874000000,237300,23350320000,92000.0,92200.0,89100.0,-2500.0,-2.72,-0.02717391304347827
2022-01-12,53290.0,89600.0,1740700,155317000000,500000,47850000000,89100.0,90600.0,88500.0,100.0,0.11,0.0011173184357542443
2022-01-13,54780.0,92100.0,1811800,165530000000,136000,11342400000,90900.0,92700.0,89800.0,2500.0,2.79,0.02790178571428581
2022-01-14,54300.0,91300.0,686700,62700000000,222600,20232660000,91700.0,92100.0,90900.0,-800.0,-0.87,-0.008686210640608039
2022-01-17,52930.0,89000.0,1568400,140807000000,204300,19939680000,90500.0,91300.0,89000.0,-2300.0,-2.52,-0.025191675794085433
2022-01-18,52400.0,88100.0,1209900,107456000000,92000,8758400000,88300.0,89600.0,88000.0,-900.0,-1.01,-0.010112359550561778
2022-01-19,52580.0,88400.0,649300,57539000000,50000,4710000000,88100.0,89200.0,88000.0,300.0,0.34,0.0034052213393871433
2022-01-20,54060.0,90900.0,767900,68992000000,21000,1974000000,88400.0,91000.0,88300.0,2600.0,2.94,0.02828054298642524
2022-01-21,52460.0,88200.0,841200,74579000000,86300,8198500000,89000.0,89800.0,88200.0,-600.0,-0.68,-0.02970297029702973
2022-01-24,50730.0,85300.0,2024200,175428000000,1807000,170400100000,88200.0,88500.0,85000.0,-2900.0,-3.29,-0.03287981859410427
2022-01-25,51450.0,86500.0,1192600,101611000000,1650000,150480000000,85200.0,87500.0,84000.0,1200.0,1.41,0.014067995310668158
2022-01-26,51150.0,86000.0,913600,78885000000,636400,58867000000,87000.0,87000.0,85500.0,-500.0,-0.58,-0.005780346820809301
2022-01-27,51090.0,85900.0,719600,61906000000,54900,5050800000,86000.0,86700.0,85400.0,-100.0,-0.12,-0.0011627906976744429
2022-01-28,53230.0,89500.0,1552300,137185000000,432900,39783510000,86000.0,89500.0,85900.0,3600.0,4.19,0.04190919674039573
2022-02-07,53230.0,89500.0,518400,46541000000,450800,43141560000,90000.0,90100.0,89000.0,0.0,0.0,0.0
2022-02-08,53880.0,90600.0,845100,76800000000,0,0,89500.0,91800.0,89500.0,1100.0,1.23,0.012290502793296021
2022-02-09,53940.0,90700.0,1142700,104153000000,200000,17926000000,91700.0,91700.0,90600.0,100.0,0.11,0.001103752759381793
2022-02-10,54720.0,92000.0,974900,88683000000,145000,14065000000,91400.0,92000.0,90200.0,1300.0,1.43,0.014332965821389099
2022-02-11,54480.0,91600.0,641600,58959000000,462600,43492960000,91800.0,92400.0,91400.0,-400.0,-0.43,-0.004347826086956497
2022-02-14,54120.0,91000.0,774100,70473000000,0,0,91000.0,91600.0,90400.0,-600.0,-0.66,-0.0065502183406113135
2022-02-15,54180.0,91100.0,655400,59853000000,0,0,91000.0,91700.0,90500.0,100.0,0.11,0.001098901098901095
2022-02-16,54300.0,91300.0,614200,56458000000,201000,19577400000,91700.0,92500.0,91300.0,200.0,0.22,0.002195389681668436
2022-02-17,55190.0,92800.0,853700,78697000000,57700,5631520000,91900.0,92800.0,91000.0,1500.0,1.64,0.016429353778751432
2022-02-18,54840.0,92200.0,618800,56970000000,0,0,92300.0,92500.0,91700.0,-600.0,-0.65,-0.006465517241379337
2022-02-21,55610.0,93500.0,1386000,129347000000,0,0,92200.0,94000.0,92000.0,1300.0,1.41,0.014099783080260275
2022-02-22,55250.0,92900.0,1158200,107012000000,186500,18650000000,93000.0,93300.0,92000.0,-600.0,-0.64,-0.0064171122994652885
2022-02-23,55310.0,93000.0,973800,90965000000,0,0,92600.0,93900.0,92600.0,100.0,0.11,0.0010764262648008671
2022-02-24,54720.0,92000.0,1349600,124944000000,0,0,93000.0,93500.0,90000.0,-1000.0,-1.08,-0.010752688172043001
2022-02-25,54900.0,92300.0,1059900,98179000000,0,0,92400.0,93400.0,92100.0,300.0,0.33,0.003260869565217428
2022-02-28,55490.0,93300.0,1504600,139807000000,56800,5606160000,92300.0,93500.0,92300.0,1000.0,1.08,0.010834236186348933
2022-03-01,55550.0,93400.0,1101900,102964000000,0,0,94000.0,94000.0,92500.0,100.0,0.11,0.001071811361200492
2022-03-02,55370.0,93100.0,1088900,101336000000,259500,25924050000,93000.0,93400.0,92700.0,-300.0,-0.32,-0.0032119914346895317
2022-03-03,55550.0,93400.0,957600,89478000000,474870,47234577500,93200.0,94000.0,93200.0,300.0,0.32,0.0032223415682062218
2022-03-04,55610.0,93500.0,1343800,125592000000,0,0,93300.0,93800.0,93000.0,100.0,0.11,0.0010706638115631772
2022-03-07,55790.0,93800.0,1698000,157905000000,222300,22230000000,93100.0,93900.0,92200.0,300.0,0.32,0.0032085561497325887
2022-03-08,56380.0,94800.0,2227500,209659000000,700000,70210000000,93800.0,95400.0,92600.0,1000.0,1.07,0.010660980810234477
2022-03-09,56800.0,95500.0,2204000,211181000000,1429500,144951300000,94600.0,96500.0,94600.0,700.0,0.74,0.007383966244725704
2022-03-10,56260.0,94600.0,778700,74179000000,790800,80740680000,96300.0,96300.0,94600.0,-900.0,-0.94,-0.009424083769633551
2022-03-11,55430.0,93200.0,1139000,106741000000,399600,40439520000,94500.0,94600.0,92700.0,-1400.0,-1.48,-0.014799154334038
2022-03-14,54600.0,91800.0,1943000,178054000000,403200,40199040000,93000.0,93000.0,90500.0,-1400.0,-1.5,-0.015021459227467782
2022-03-15,54120.0,91000.0,1872000,169463000000,1979300,193823260000,91800.0,91800.0,89800.0,-800.0,-0.87,-0.008714596949891074
2022-03-16,54480.0,91600.0,1139600,103982000000,2026300,197158990000,91100.0,92300.0,90500.0,600.0,0.66,0.00659340659340657
2022-03-17,54720.0,92000.0,1180600,108685000000,1571700,154026600000,91800.0,92700.0,91500.0,400.0,0.44,0.004366812227074135
2022-03-18,56560.0,95100.0,2815100,267952000000,0,0,93000.0,96600.0,93000.0,3100.0,3.37,0.033695652173913127
