Ngay,GiaDieuChinh,GiaDongCua,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat,Price_change,%Price_change,Return
2022-01-11,31030.0,45100.0,12758500,582249000000,513600,24983680000,46050.0,46050.0,45100.0,-600.0,-1.31,-0.012048192771084376
2022-01-12,31790.0,46200.0,14686700,672332000000,0,0,45200.0,46250.0,45150.0,1100.0,2.44,0.024390243902439046
2022-01-13,32130.000000000004,46700.0,24990100,1167446000000,587700,25931100000,46300.0,47300.0,46200.0,500.0,1.08,0.010822510822510845
2022-01-14,31820.0,46250.0,7902000,367341000000,1785900,83518080000,46500.0,46850.0,46200.0,-450.0,-0.96,-0.009635974304068484
2022-01-17,30750.0,44700.0,21661200,984593000000,160000,7840000000,46250.0,46500.0,44700.0,-1550.0,-3.35,-0.033513513513513504
2022-01-18,30270.0,44000.0,21441900,947545000000,0,0,44500.0,45250.0,43000.0,-700.0,-1.57,-0.015659955257270708
2022-01-19,29960.0,43550.0,13682800,602158000000,182300,8145910000,44400.0,44550.0,43450.0,-450.0,-1.02,-0.010227272727272751
2022-01-20,30270.0,44000.0,10346900,452708000000,420000,18950000000,43800.0,44050.0,43300.0,500.0,1.15,0.010332950631458004
2022-01-21,29790.0,43300.0,16277300,709940000000,100000,4705000000,44000.0,44450.0,43100.0,-700.0,-1.59,-0.015909090909090873
2022-01-24,28000.0,40700.0,29425200,1229731000000,3230000,133271000000,43100.0,43200.0,40700.0,-2600.0,-6.0,-0.06004618937644346
2022-01-25,29760.0,43250.0,17887600,742124000000,1877600,74952420000,40500.0,43300.0,40200.0,2550.0,6.27,0.0626535626535627
2022-01-26,29890.0,43450.0,15205400,667648000000,2354200,98735100000,43500.0,44450.0,43450.0,150.0,0.35,0.0046242774566473965
2022-01-27,29000.0,42150.0,14700800,626343000000,40000,1620000000,43200.0,43500.0,42000.0,-1350.0,-3.1,-0.029919447640966657
2022-01-28,29030.0,42200.0,14941600,629678000000,920100,39944646000,42250.0,42800.0,41700.0,0.0,0.0,0.0011862396204034287
2022-02-07,29620.0,43050.0,16609600,709578000000,114000,4770900000,42800.0,43700.0,41800.0,850.0,2.01,0.020142180094786744
2022-02-08,31340.0,45550.0,26528800,1185580000000,2488900,107430100000,43000.0,45550.0,43000.0,2450.0,5.68,0.058072009291521454
2022-02-09,32540.0,47300.0,40297200,1911276000000,918000,42907200000,45800.0,48300.0,45700.0,1700.0,3.73,0.03841931942919863
2022-02-10,32340.000000000004,47000.0,23598200,1117451000000,1639100,74987950000,47400.0,47900.0,46700.0,-300.0,-0.63,-0.006342494714587699
2022-02-11,32439.999999999996,47150.0,17343300,811437000000,882300,40944975000,46600.0,47500.0,46300.0,150.0,0.32,0.0031914893617022155
2022-02-14,31790.0,46200.0,18246700,853219000000,350000,16600000000,46500.0,47500.0,46150.0,-1000.0,-2.12,-0.020148462354188768
2022-02-15,31650.0,46000.0,15564400,714708000000,307700,14701900000,46200.0,46550.0,45400.0,-200.0,-0.43,-0.0043290043290042934
2022-02-16,31650.0,46000.0,9350300,430845000000,491200,21121600000,46100.0,46500.0,45600.0,0.0,0.0,0.0
2022-02-17,31990.0,46500.0,11353300,526739000000,1020300,47395770000,46000.0,46750.0,46000.0,500.0,1.09,0.010869565217391353
2022-02-18,32369.999999999996,47050.0,21375700,1007382000000,1759800,82167800000,46200.0,47650.0,46050.0,550.0,1.18,0.011827956989247213
2022-02-21,32100.0,46650.0,12177300,571793000000,0,0,47100.0,47500.0,46550.0,-450.0,-0.96,-0.008501594048884176
2022-02-22,31920.0,46400.0,17669600,814579000000,3465300,157415070000,46300.0,46600.0,45700.0,-300.0,-0.64,-0.005359056806002127
2022-02-23,32130.000000000004,46700.0,12981100,605308000000,0,0,46650.0,47200.0,46250.0,300.0,0.65,0.006465517241379226
2022-02-24,31650.0,46000.0,22445800,1031668000000,156700,7166550000,46750.0,46850.0,45100.0,-700.0,-1.5,-0.01498929336188437
2022-02-25,31580.0,45900.0,12775700,588315000000,2623320,121657925000,46100.0,46350.0,45900.0,-100.0,-0.22,-0.0021739130434782483
