Ngay,GiaDieuChinh,GiaDongCua,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat,Price_change,%Price_change,Return
2022-01-11,64950.0,131800.0,773400,102630000000,1265100,180023730000,133000.0,134500.0,131700.0,-1200.0,-0.9,-0.009022556390977488
2022-01-12,67020.0,136000.0,928600,122503000000,376200,53044200000,131800.0,136000.0,130000.0,4200.0,3.19,0.03186646433990892
2022-01-13,66780.0,135500.0,925000,124844000000,1715900,248107350000,136500.0,136500.0,132000.0,-500.0,-0.37,-0.003676470588235281
2022-01-14,66040.0,134000.0,468400,62887000000,1451500,208831510000,135000.0,135000.0,133200.0,-1500.0,-1.11,-0.011070110701106972
2022-01-17,64069.99999999999,130000.0,817400,108054000000,0,0,133000.0,133900.0,130000.0,-4000.0,-2.99,-0.02985074626865669
2022-01-18,64120.00000000001,130100.0,816200,106205000000,1747800,243118980000,129000.0,132000.0,128600.0,100.0,0.08,0.0007692307692308553
2022-01-19,65000.0,131900.0,792400,104489000000,921550,128279760000,130199.99999999999,134000.0,130000.0,1800.0,1.38,0.013835511145272816
2022-01-20,65400.00000000001,132700.0,294400,39063000000,338000,48266400000,133000.0,133500.0,132100.0,-800.0,-0.6,0.006065200909780133
2022-01-21,65640.0,133200.0,655100,86812000000,0,0,134000.0,134000.0,131300.0,-800.0,-0.6,0.0037678975131876236
2022-01-24,64019.99999999999,129900.0,867600,113307000000,53000,7552500000,132200.0,133200.0,129900.0,-3300.0,-2.48,-0.024774774774774744
2022-01-25,64560.0,131000.0,802500,103601000000,655700,91076730000,129800.00000000001,131000.0,127600.0,1100.0,0.85,0.008468052347959887
2022-01-26,65000.0,131900.0,954300,124526000000,150000,21015000000,131000.0,131900.0,129000.0,900.0,0.69,0.006870229007633677
2022-01-27,64810.0,131500.0,530600,69391000000,488800,68969680000,130900.0,132300.0,129199.99999999999,-400.0,-0.3,-0.0030326004548900665
2022-01-28,65300.0,132500.0,716300,94074000000,0,0,131300.0,132500.0,129699.99999999999,1000.0,0.76,0.0076045627376426506
2022-02-07,65990.0,133900.0,932400,125189000000,22200,3145740000,133000.0,135700.0,133000.0,1400.0,1.06,0.010566037735848965
2022-02-08,67170.0,136300.0,1450000,196493000000,0,0,133900.0,136800.0,133900.0,2400.0,1.79,0.017923823749066425
2022-02-09,67520.0,137000.0,1207000,164993000000,0,0,136300.0,137500.0,136000.0,700.0,0.51,0.005135730007336692
2022-02-10,67170.0,136300.0,902700,122705000000,176600,25871900000,137000.0,137200.0,134500.0,-700.0,-0.51,-0.005109489051094873
2022-02-11,66680.0,135300.0,541500,73297000000,100000,14580000000,135000.0,136000.0,135000.0,-1000.0,-0.73,-0.007336757153338258
2022-02-14,65050.0,132000.0,957300,127560000000,453000,65549100000,133900.0,135000.0,132000.0,-3300.0,-2.44,-0.024390243902439046
2022-02-15,65690.0,133300.0,572400,76125000000,710500,100322600000,132700.0,133900.0,131500.0,1300.0,0.98,0.009848484848484773
2022-02-16,65500.0,132900.0,562000,74466000000,0,0,134200.0,134200.0,131600.0,-400.0,-0.3,-0.0030007501875468634
2022-02-17,66290.0,134500.0,1031400,137290000000,27700,3938940000,132000.0,134500.0,131900.0,1600.0,1.2,0.012039127163280705
2022-02-18,66040.0,134000.0,467800,62189000000,0,0,132100.0,134000.0,132100.0,-500.0,-0.37,-0.0037174721189591198
2022-02-21,65990.0,133900.0,612100,81932000000,0,0,132500.0,134900.0,132500.0,-100.0,-0.07,-0.0007462686567164534
2022-02-22,67860.0,137700.0,3272600,447105000000,466800,66845760000,133000.0,139200.0,132400.0,3800.0,2.84,0.028379387602688544
2022-02-23,67910.0,137800.0,1609600,223403000000,329200,48130660000,137700.0,140600.0,136900.0,100.0,0.07,0.000726216412490821
2022-02-24,67420.0,136800.0,1174200,160423000000,50000,7370000000,137000.0,137700.0,135500.0,-1000.0,-0.73,-0.007256894049346929
2022-02-25,67810.0,137600.0,2690300,371840000000,25000,3657500000,136900.0,139800.0,136000.0,800.0,0.58,0.005847953216374213
2022-02-28,67020.0,136000.0,1802000,245832000000,322400,47457280000,136500.0,138000.0,135500.0,-1600.0,-1.16,-0.011627906976744207
