Ngay,GiaDieuChinh,GiaDongCua,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat,Price_change,%Price_change,Return
2022-01-11,84500.0,84500.0,2675600,223569000000,640000,53760000000,83900.0,85000.0,82300.0,600.0,0.72,0.007151370679380209
2022-01-12,83800.0,83800.0,2055700,170403000000,720000,59960000000,83600.0,84500.0,82400.0,-700.0,-0.83,-0.008284023668639007
2022-01-13,83500.0,83500.0,2558200,211681000000,650000,53950000000,84000.0,84000.0,82200.0,-300.0,-0.36,-0.0035799522673031214
2022-01-14,82000.0,82000.0,3070800,252228000000,830000,68190000000,82100.0,83500.0,81700.0,-1500.0,-1.8,-0.017964071856287456
2022-01-17,80000.0,80000.0,2767000,221287000000,0,0,82000.0,83000.0,78800.0,-2000.0,-2.44,-0.024390243902439046
2022-01-18,80100.0,80100.0,2687600,214050000000,1000000,80000000000,80000.0,80100.0,79100.0,100.0,0.12,0.0012499999999999734
2022-01-19,78500.0,78500.0,1422000,112082000000,1010000,80800000000,79500.0,79600.0,78100.0,-1600.0,-2.0,-0.019975031210986316
2022-01-20,78500.0,78500.0,1308000,102821000000,1260000,100800000000,79500.0,79800.0,78300.0,-1500.0,-1.88,0.0
2022-01-21,80000.0,80000.0,2613100,207031000000,0,0,80200.0,80200.0,78600.0,-200.0,-0.25,0.019108280254777066
2022-01-24,78100.0,78100.0,2844300,223369000000,0,0,78500.0,80000.0,78100.0,-1900.0,-2.38,-0.02375000000000005
2022-01-25,79000.0,79000.0,1729300,136160000000,1130000,89270000000,78200.0,79800.0,77800.0,900.0,1.15,0.011523687580025532
2022-01-26,79400.0,79400.0,1630700,128637000000,1540000,119160000000,79700.0,79700.0,78300.0,400.0,0.51,0.005063291139240533
2022-01-27,79000.0,79000.0,2236000,177155000000,2520000,198600000000,79200.0,80000.0,78500.0,-400.0,-0.5,-0.005037783375314908
2022-01-28,79900.0,79900.0,1554600,123221000000,1890000,148450000000,79500.0,79900.0,78600.0,900.0,1.14,0.0113924050632912
2022-02-07,80000.0,80000.0,1993900,160025000000,1530000,122400000000,79500.0,82000.0,79500.0,100.0,0.13,0.0012515644555695093
2022-02-08,79200.0,79200.0,2143700,170318000000,1140000,91200000000,80000.0,80000.0,79100.0,-800.0,-1.0,-0.010000000000000009
2022-02-09,79000.0,79000.0,2658700,209551000000,2000000,157550000000,79700.0,79800.0,78300.0,-200.0,-0.25,-0.002525252525252486
2022-02-10,78500.0,78500.0,2961900,232049000000,2280000,178930000000,79100.0,79100.0,78000.0,-500.0,-0.63,-0.006329113924050667
2022-02-11,78100.0,78100.0,1978900,154507000000,1220000,95160000000,78500.0,78500.0,77700.0,-400.0,-0.51,-0.005095541401273884
2022-02-14,78000.0,78000.0,2814400,218394000000,1300000,101400000000,78000.0,78400.0,76700.0,-100.0,-0.13,-0.001280409731113985
2022-02-15,79000.0,79000.0,2724200,212599000000,2070000,161460000000,78000.0,79600.0,77500.0,1000.0,1.28,0.012820512820512775
2022-02-16,78100.0,78100.0,2680400,210882000000,1660000,131140000000,79900.0,79900.0,77800.0,-900.0,-1.14,-0.011392405063291089
2022-02-17,79000.0,79000.0,3864700,301497000000,1330000,103740000000,78200.0,79000.0,77300.0,900.0,1.15,0.011523687580025532
2022-02-18,78500.0,78500.0,3218300,251407000000,1280000,100200000000,78200.0,78800.0,77600.0,-500.0,-0.63,-0.006329113924050667
2022-02-21,78500.0,78500.0,2583200,202132000000,1950000,152100000000,78500.0,78600.0,78000.0,0.0,0.0,0.0
2022-02-22,78100.0,78100.0,2974200,231379000000,1020000,79560000000,77500.0,78500.0,77400.0,-400.0,-0.51,-0.005095541401273884
2022-02-23,77400.0,77400.0,2354600,182789000000,1210000,94080000000,78000.0,78100.0,77400.0,-700.0,-0.9,-0.008962868117797673
2022-02-24,76000.0,76000.0,2726800,208524000000,800000,61600000000,77400.0,77400.0,75800.0,-1400.0,-1.81,-0.018087855297157618
2022-02-25,76300.0,76300.0,3718400,281096000000,750000,57000000000,76500.0,76500.0,74400.0,300.0,0.39,0.003947368421052699
2022-02-28,75300.0,75300.0,2855200,215660000000,1925000,146030000000,76500.0,76600.0,75000.0,-1000.0,-1.31,-0.013106159895150737
2022-03-01,75400.0,75400.0,3281200,247096000000,1580000,119700000000,75300.0,76000.0,74800.0,100.0,0.13,0.0013280212483399723
2022-03-02,76400.0,76400.0,3730500,284708000000,1180000,89680000000,75300.0,77800.0,75200.0,1000.0,1.33,0.013262599469495928
2022-03-03,78000.0,78000.0,2968500,228063000000,1230000,94710000000,76700.0,78000.0,76200.0,1600.0,2.09,0.020942408376963373
2022-03-04,77000.0,77000.0,3890200,303218000000,1455000,113490000000,78900.0,79000.0,77000.0,-1000.0,-1.28,-0.012820512820512775
2022-03-07,76000.0,76000.0,4004500,304260000000,2360000,176360000000,76500.0,76900.0,75500.0,-1000.0,-1.3,-0.012987012987012991
2022-03-08,76000.0,76000.0,3460700,262129000000,1050000,79800000000,75600.0,76400.0,75100.0,0.0,0.0,0.0
2022-03-09,76500.0,76500.0,3224400,245772000000,1540000,117040000000,76400.0,76800.0,75500.0,500.0,0.66,0.006578947368421018
2022-03-10,77000.0,77000.0,5405900,418889000000,970000,74690000000,77000.0,79500.0,76400.0,500.0,0.65,0.006535947712418277
2022-03-11,77200.0,77200.0,3420600,263606000000,1642000,126434000000,78000.0,78400.0,76500.0,200.0,0.26,0.0025974025974024872
2022-03-14,76500.0,76500.0,4530400,344796000000,1380000,106260000000,76700.0,77400.0,75400.0,-700.0,-0.91,-0.0090673575129534
2022-03-15,76600.0,76600.0,3973700,301450000000,1370060,105464530000,75800.0,77200.0,75500.0,100.0,0.13,0.0013071895424836555
2022-03-16,77400.0,77400.0,3574200,276383000000,1090000,83820000000,76900.0,78400.0,76200.0,800.0,1.04,0.010443864229765065
2022-03-17,76600.0,76600.0,3602100,278808000000,920000,71760000000,77400.0,78500.0,76500.0,-800.0,-1.03,-0.01033591731266148
2022-03-18,77100.0,77100.0,5003700,381219000000,850000,64600000000,76800.0,77100.0,75200.0,500.0,0.65,0.006527415143603221
2022-03-21,82400.0,82400.0,7255400,578614000000,1290000,100620000000,77300.0,82400.0,76600.0,5300.0,6.87,0.06874189364461736
2022-03-22,84100.0,84100.0,7102700,603622000000,1370000,115250000000,85000.0,86700.0,83500.0,1700.0,2.06,0.020631067961164984
2022-03-23,83800.0,83800.0,7524300,633737000000,740000,62160000000,85500.0,85700.0,83300.0,-300.0,-0.36,-0.003567181926278251
2022-03-24,82800.0,82800.0,7178100,597098000000,720000,60480000000,84000.0,84500.0,82400.0,-1000.0,-1.19,-0.011933174224343701
2022-03-25,83600.0,83600.0,5584600,467839000000,1400000,115950000000,82800.0,85300.0,82800.0,800.0,0.97,0.009661835748792313
2022-03-28,82500.0,82500.0,6222900,514549000000,333800,27722300000,83500.0,83500.0,82200.0,-1100.0,-1.32,-0.013157894736842146
2022-03-29,82500.0,82500.0,4145300,342362000000,0,0,82500.0,83300.0,82100.0,0.0,0.0,0.0
2022-03-30,80000.0,80000.0,6164300,499736000000,300000,24750000000,82400.0,82500.0,79800.0,-2500.0,-3.03,-0.030303030303030276
2022-03-31,80100.0,80100.0,2626900,210935000000,250000,20000000000,80000.0,81000.0,79900.0,100.0,0.12,0.0012499999999999734
2022-04-01,82600.0,82600.0,4868100,389985000000,350000,27735000000,80100.0,82600.0,78700.0,2500.0,3.12,0.03121098626716612
2022-04-04,86500.0,86500.0,6134300,519299000000,820000,68060000000,82800.0,87600.0,82600.0,3900.0,4.72,0.04721549636803868
2022-04-05,87700.0,87700.0,5672500,492262000000,1050000,90300000000,85800.0,88000.0,84600.0,1200.0,1.39,0.01387283236994219
2022-04-06,86300.0,86300.0,6803500,588477000000,1002647,87037642000,88200.0,88300.0,84800.0,-1400.0,-1.6,-0.015963511972634015
2022-04-07,84600.0,84600.0,5536200,469325000000,1026740,87272900000,85700.0,86000.0,84200.0,-1700.0,-1.97,-0.01969872537659323
2022-04-08,85400.0,85400.0,6060900,515542000000,1070000,90430000000,83800.0,86400.0,83700.0,800.0,0.95,0.009456264775413725
2022-04-12,85000.0,85000.0,3935300,335806000000,1032071,84615680000,85500.0,86400.0,84700.0,-400.0,-0.47,-0.004683840749414525
2022-04-13,86500.0,86500.0,5928200,507745000000,676404,57494340000,85700.0,87800.0,84400.0,1500.0,1.76,0.01764705882352935
2022-04-14,85000.0,85000.0,6662400,576000000000,4212195,358636575000,86500.0,87800.0,84000.0,-1500.0,-1.73,-0.017341040462427793
2022-04-15,84100.0,84100.0,2741000,231728000000,715000,60645000000,84200.0,85100.0,84100.0,-900.0,-1.06,-0.010588235294117676
2022-04-18,82200.0,82200.0,3329400,274486000000,0,0,83000.0,83500.0,81700.0,-1900.0,-2.26,-0.022592152199762183
2022-04-19,82000.0,82000.0,3030000,249140000000,0,0,82500.0,82800.0,81600.0,-200.0,-0.24,-0.0024330900243308973
2022-04-20,81400.0,81400.0,3466600,282843000000,1168402,95312160000,82300.0,82500.0,80600.0,-600.0,-0.73,-0.007317073170731714
2022-04-21,80100.0,80100.0,4662100,373714000000,930063,75317046300,81000.0,81100.0,79600.0,-1300.0,-1.6,-0.01597051597051602
2022-04-22,81000.0,81000.0,2613900,210916000000,710000,57510000000,80500.0,81200.0,80100.0,900.0,1.12,0.011235955056179803
2022-04-25,80100.0,80100.0,3656200,293332000000,920072,74505760000,82200.0,82200.0,79000.0,-900.0,-1.11,-0.011111111111111072
2022-04-26,81000.0,81000.0,4528900,362982000000,200100,16008000000,80100.0,82000.0,79200.0,900.0,1.12,0.011235955056179803
2022-04-27,81300.0,81300.0,2142900,172464000000,390100,31590080000,81000.0,81300.0,79900.0,300.0,0.37,0.0037037037037037646
2022-04-28,81700.0,81700.0,3173600,257789000000,255172,20745483600,81300.0,82000.0,80600.0,400.0,0.49,0.004920049200491938
2022-04-29,82000.0,82000.0,3227000,264636000000,190000,15580000000,81900.0,82800.0,80800.0,300.0,0.37,0.003671970624234966
2022-05-04,80500.0,80500.0,3050100,246588000000,0,0,82000.0,82300.0,80000.0,-1500.0,-1.83,-0.018292682926829285
2022-05-05,81200.0,81200.0,2172500,175610000000,1300000,105050000000,81000.0,81700.0,80100.0,700.0,0.87,0.008695652173912993
2022-05-06,80800.0,80800.0,3892300,312792000000,1080000,87480000000,81000.0,81000.0,79800.0,-400.0,-0.49,-0.0049261083743842304
2022-05-09,78500.0,78500.0,3577100,283484000000,0,0,80400.0,80500.0,78200.0,-2300.0,-2.85,-0.02846534653465349
2022-05-10,79000.0,79000.0,3350000,260139000000,50000,4195000000,77000.0,79000.0,76600.0,500.0,0.64,0.006369426751592355
2022-05-11,78700.0,78700.0,2688300,212447000000,200028,16027212000,80100.0,80700.0,78100.0,-300.0,-0.38,-0.0037974683544304
2022-05-12,75300.0,75300.0,3516100,268841000000,786000,62880000000,79500.0,80000.0,74700.0,-3400.0,-4.32,-0.043202033036848775
2022-05-13,75000.0,75000.0,3817000,285875000000,210000,15960000000,75000.0,77300.0,72500.0,-300.0,-0.4,-0.003984063745019917
2022-05-16,75000.0,75000.0,2173400,162679000000,0,0,75100.0,75300.0,73600.0,0.0,0.0,0.0
2022-05-17,78300.0,78300.0,2759700,207219000000,0,0,75000.0,78300.0,74100.0,3300.0,4.4,0.04400000000000004
2022-05-18,78300.0,78300.0,2807100,216103000000,0,0,78300.0,78300.0,75000.0,0.0,0.0,0.0
2022-05-19,78000.0,78000.0,2448500,188264000000,480000,36480000000,76900.0,78300.0,75000.0,-300.0,-0.38,-0.003831417624521105
2022-05-20,77800.0,77800.0,2381900,185322000000,350000,27300000000,77900.0,78500.0,77100.0,-200.0,-0.26,-0.002564102564102555
2022-05-23,76400.0,76400.0,1912800,146111000000,1206954,93482332000,77500.0,77600.0,76000.0,-1400.0,-1.8,-0.01799485861182515
2022-05-24,77200.0,77200.0,2384700,181342000000,5862983,442606289100,76400.0,77200.0,75100.0,800.0,1.05,0.010471204188481575
2022-05-25,78900.0,78900.0,2947500,229661000000,1376000,105952000000,78000.0,78900.0,76900.0,1700.0,2.2,0.022020725388601115
2022-05-26,78000.0,78000.0,3253700,253900000000,290880,22716432000,78500.0,80000.0,77100.0,-900.0,-1.14,-0.011406844106463865
2022-05-27,78400.0,78400.0,3410700,267043000000,0,0,78000.0,79500.0,77300.0,400.0,0.51,0.00512820512820511
2022-05-30,78700.0,78700.0,2673200,208009000000,300083,23406474000,78500.0,78700.0,77100.0,300.0,0.38,0.003826530612244916
2022-05-31,78000.0,78000.0,2305900,179709000000,500000,36750000000,78000.0,78500.0,77700.0,-700.0,-0.89,-0.008894536213468918
2022-06-01,78000.0,78000.0,2440800,189934000000,0,0,78000.0,78300.0,77400.0,0.0,0.0,0.0
2022-06-02,78900.0,78900.0,2394400,188709000000,1310000,102180000000,78100.0,79900.0,78100.0,900.0,1.15,0.011538461538461497
2022-06-03,77500.0,77500.0,2327400,180654000000,960000,74880000000,79000.0,79300.0,76000.0,-1400.0,-1.77,-0.017743979721166037
2022-06-06,76300.0,76300.0,3044600,232363000000,3077335,234685833000,76100.0,77100.0,75500.0,-1200.0,-1.55,-0.015483870967741953
2022-06-07,76000.0,76000.0,3038300,230035000000,540000,41040000000,76000.0,76500.0,75200.0,-300.0,-0.39,-0.003931847968545177
2022-06-08,76400.0,76400.0,2684900,205347000000,610300,46408890000,76900.0,77400.0,76000.0,400.0,0.53,0.0052631578947368585
2022-06-09,76500.0,76500.0,2383800,182999000000,875000,67375000000,76800.0,77300.0,76200.0,100.0,0.13,0.0013089005235602524
2022-06-10,77000.0,77000.0,2158000,165583000000,2180124,169014672000,76900.0,77500.0,76300.0,500.0,0.65,0.006535947712418277
2022-06-13,76000.0,76000.0,2464100,188065000000,432000,32798400000,77000.0,77000.0,75900.0,-1000.0,-1.3,-0.012987012987012991
2022-06-14,76600.0,76600.0,2635200,201124000000,590000,44840000000,76100.0,77000.0,76000.0,600.0,0.79,0.007894736842105177
2022-06-15,76400.0,76400.0,3341200,255324000000,500000,38300000000,76800.0,77000.0,75600.0,-200.0,-0.26,-0.0026109660574412663
2022-06-16,77500.0,77500.0,3137300,242289000000,505000,38885000000,77000.0,78300.0,76400.0,1100.0,1.44,0.014397905759162333
2022-06-17,75700.0,75700.0,3396400,258999000000,880000,68312500000,77300.0,78300.0,75700.0,-1800.0,-2.32,-0.023225806451612874
2022-06-20,75500.0,75500.0,3111300,235221000000,820000,62315000000,76900.0,76900.0,75200.0,-200.0,-0.26,-0.0026420079260237594
2022-06-21,75500.0,75500.0,2429400,183977000000,1700000,128350000000,76000.0,76300.0,75200.0,0.0,0.0,0.0
2022-06-22,75500.0,75500.0,2346000,176902000000,1140000,86640000000,76000.0,76100.0,74900.0,0.0,0.0,0.0
2022-06-23,74900.0,74900.0,2913600,218352000000,775000,58512500000,75000.0,75300.0,74500.0,-600.0,-0.79,-0.007947019867549643
2022-06-24,74000.0,74000.0,3884600,284682000000,2335294,177594924000,72000.0,75800.0,72000.0,-900.0,-1.2,-0.012016021361815787
2022-06-27,78800.0,78800.0,3978700,300829000000,8707200,668849400000,74500.0,78800.0,73000.0,4800.0,6.49,0.06486486486486487
2022-06-28,75100.0,75100.0,4116100,310525000000,7277700,603066800000,77500.0,77500.0,74600.0,-3700.0,-4.7,-0.04695431472081213
2022-06-29,75100.0,75100.0,2425200,183165000000,1958508,149902600160,75300.0,76100.0,74700.0,0.0,0.0,0.0
2022-06-30,74500.0,74500.0,1597500,119515000000,1954000,153118000000,76000.0,76000.0,74400.0,-600.0,-0.8,-0.007989347536617841
2022-07-01,74400.0,74400.0,1683800,124956000000,466300,34818250000,74900.0,74900.0,73800.0,-100.0,-0.13,-0.0013422818791946067
2022-07-04,74000.0,74000.0,2206200,163371000000,617214,46005478000,74500.0,75000.0,73400.0,-400.0,-0.54,-0.005376344086021501
2022-07-05,73500.0,73500.0,1777900,130607000000,300000,22200000000,74100.0,74800.0,73100.0,-500.0,-0.68,-0.006756756756756799
2022-07-06,73400.0,73400.0,967400,71035000000,856096,64641892000,74000.0,74000.0,73100.0,-100.0,-0.14,-0.0013605442176870541
2022-07-07,74000.0,74000.0,1728000,126968000000,2390000,181790000000,73200.0,74000.0,73100.0,600.0,0.82,0.008174386920980936
2022-07-08,73800.0,73800.0,1030500,75954000000,936000,69492000000,74000.0,74900.0,73200.0,-200.0,-0.27,-0.002702702702702675
2022-07-11,73400.0,73400.0,957700,70370000000,590000,43365000000,73800.0,73800.0,73200.0,-400.0,-0.54,-0.005420054200542035
2022-07-12,73400.0,73400.0,917300,67153000000,2500000,191450000000,73300.0,73700.0,72900.0,0.0,0.0,0.0
2022-07-13,73600.0,73600.0,900500,66033000000,500000,36750000000,73200.0,73900.0,72900.0,200.0,0.27,0.0027247956403269047
2022-07-14,73700.0,73700.0,1313200,96327000000,1935000,142416000000,73600.0,73700.0,73000.0,100.0,0.14,0.0013586956521738358
2022-07-15,73600.0,73600.0,1410600,103583000000,0,0,74000.0,74000.0,72800.0,-100.0,-0.14,-0.0013568521031207537
2022-07-18,73600.0,73600.0,1405900,103144000000,1237000,91156000000,73800.0,73800.0,73100.0,0.0,0.0,0.0
2022-07-19,73600.0,73600.0,1526700,112962000000,1005000,74370000000,74000.0,74700.0,73200.0,0.0,0.0,0.0
2022-07-20,73900.0,73900.0,918000,67598000000,1260000,93240000000,73800.0,74000.0,73100.0,300.0,0.41,0.0040760869565217295
