Ngay,GiaDieuChinh,GiaDongCua,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat,Price_change,%Price_change,Return
2022-01-11,65770.0,94100.0,386400,36020000000,31100,3100670000,93200.0,94500.0,92400.0,900.0,0.97,0.00965665236051505
2022-01-12,64790.00000000001,92700.0,466400,43331000000,0,0,94100.0,94100.0,92600.0,-1400.0,-1.49,-0.014877789585547307
2022-01-13,65770.0,94100.0,331900,31273000000,132200,12174860000,96000.0,96000.0,93100.0,1400.0,1.51,0.015102481121898492
2022-01-14,65630.0,93900.0,288800,27041000000,31100,2724360000,91700.0,94300.0,91700.0,-200.0,-0.21,-0.002125398512221044
2022-01-17,65349.99999999999,93500.0,508200,47355000000,0,0,93100.0,94000.0,92600.0,-400.0,-0.43,-0.004259850905218299
2022-01-18,65209.99999999999,93300.0,348000,32293000000,0,0,92200.0,93500.0,92100.0,-200.0,-0.21,-0.002139037433155133
2022-01-19,64510.00000000001,92300.0,264900,24507000000,0,0,93200.0,93300.0,92000.0,-1000.0,-1.07,-0.010718113612004254
2022-01-20,65700.0,94000.0,196700,18478000000,0,0,93000.0,94500.0,93000.0,400.0,0.43,0.018418201516793076
2022-01-21,66750.0,95500.0,715300,67967000000,0,0,94500.0,95500.0,94400.0,1100.0,1.17,0.015957446808510634
2022-01-24,67730.0,96900.0,870600,84207000000,0,0,95500.0,98300.0,94100.0,1400.0,1.47,0.014659685863874339
2022-01-25,67800.0,97000.0,647300,62717000000,0,0,96800.0,97500.0,95600.0,100.0,0.1,0.0010319917440659854
2022-01-26,70590.0,101000.0,1869600,183728000000,0,0,97600.0,101000.0,96800.0,4000.0,4.12,0.04123711340206193
2022-01-27,70590.0,101000.0,921300,93010000000,0,0,100000.0,101500.0,99900.0,0.0,0.0,0.0
2022-01-28,72690.0,104000.0,1007200,103283000000,0,0,100000.0,104000.0,100000.0,3000.0,2.97,0.02970297029702973
2022-02-07,75000.0,107300.0,1212900,128630000000,0,0,103600.0,108000.0,103600.0,3300.0,3.17,0.03173076923076934
2022-02-08,73390.0,105000.0,781500,82798000000,0,0,106100.0,107100.0,104000.0,-2300.0,-2.14,-0.02143522833178002
2022-02-09,72200.0,103300.0,1122700,116476000000,1000000,103995000000,104900.0,104900.0,103000.0,-1700.0,-1.62,-0.0161904761904762
2022-02-10,72200.0,103300.0,825900,84880000000,0,0,103500.0,103700.0,101600.0,0.0,0.0,0.0
2022-02-11,73250.0,104800.0,534900,55486000000,0,0,103000.0,106500.0,102000.0,1500.0,1.45,0.014520813165537216
2022-02-14,73110.0,104600.0,533200,55916000000,0,0,105000.0,105100.0,104100.0,-200.0,-0.19,-0.001908396946564861
2022-02-15,73740.0,105500.0,619800,64889000000,0,0,103900.0,105900.0,103700.0,900.0,0.86,0.008604206500955947
2022-02-16,74300.0,106300.0,758900,80238000000,0,0,105000.0,106600.0,104500.0,800.0,0.76,0.007582938388625671
2022-02-17,75420.0,107900.0,924600,99177000000,100000,10790000000,106500.0,107900.0,106300.0,1600.0,1.51,0.015051740357478804
2022-02-18,74790.0,107000.0,570600,61481000000,0,0,107000.0,108900.0,107000.0,-900.0,-0.83,-0.008341056533827662
2022-02-21,74440.0,106500.0,693400,73527000000,20000,2000000000,107000.0,107000.0,104900.0,-500.0,-0.47,-0.004672897196261627
2022-02-22,76880.0,110000.0,2820800,309065000000,50000,5495500000,106400.0,113000.0,105100.0,3500.0,3.29,0.032863849765258246
2022-02-23,76600.0,109600.0,1149100,127798000000,0,0,110000.0,113500.0,109000.0,-400.0,-0.36,-0.0036363636363636598
2022-02-24,76180.0,109000.0,1782700,196378000000,0,0,109900.0,112800.0,109000.0,-600.0,-0.55,-0.005474452554744547
2022-02-25,75350.0,107800.0,1606000,173448000000,0,0,109000.0,110000.0,106400.0,-1200.0,-1.1,-0.011009174311926606
2022-02-28,71990.0,103000.0,2289000,240880000000,0,0,107000.0,108700.0,103000.0,-4800.0,-4.45,-0.04452690166975881
2022-03-01,73390.0,105000.0,1145900,118729000000,316333,30367968000,102100.0,106000.0,102100.0,2000.0,1.94,0.01941747572815533
2022-03-02,72270.0,103400.0,1214800,125059000000,0,0,105000.0,105000.0,100800.0,-1600.0,-1.52,-0.015238095238095273
2022-03-03,72690.0,104000.0,833500,86531000000,0,0,104000.0,105000.0,102000.0,600.0,0.58,0.005802707930367523
2022-03-04,74230.0,106200.0,1595700,168223000000,0,0,102700.0,106900.0,102700.0,2200.0,2.12,0.02115384615384608
2022-03-07,75910.0,108000.0,3113000,341968000000,222800,24508000000,107200.0,112000.0,107200.0,2400.0,2.27,0.016949152542372836
2022-03-08,74500.0,106000.0,1354300,145451000000,220010,23735067000,109000.0,110000.0,105500.0,-2000.0,-1.85,-0.01851851851851849
2022-03-09,77670.0,110500.0,2295500,253209000000,720050,79590500000,107000.0,112000.0,106600.0,4500.0,4.25,0.04245283018867929
2022-03-10,76120.0,108300.0,1106500,119962000000,851100,92560046000,109500.0,109500.0,107200.0,-2200.0,-1.99,-0.01990950226244348
2022-03-11,73450.0,104500.0,1323700,139521000000,0,0,107000.0,108000.0,103600.0,-3800.0,-3.51,-0.03508771929824561
2022-03-14,69230.0,98500.0,1989500,200726000000,0,0,103800.0,103800.0,98500.0,-6000.0,-5.74,-0.0574162679425837
2022-03-15,72330.0,102900.0,818900,81945000000,0,0,99500.0,103000.0,98600.0,4400.0,4.47,0.044670050761421276
2022-03-16,72260.0,102800.0,594800,60915000000,0,0,102400.0,103600.0,100500.0,-100.0,-0.1,-0.0009718172983479434
2022-03-17,72400.0,103000.0,690300,71002000000,0,0,102800.0,103300.0,102000.0,200.0,0.19,0.0019455252918287869
2022-03-18,72750.0,103500.0,678700,70794000000,0,0,102400.0,105500.0,102400.0,500.0,0.49,0.004854368932038833
2022-03-21,74220.0,105600.0,710800,74550000000,400000,42240000000,103600.0,105900.0,103500.0,2100.0,2.03,0.020289855072463725
2022-03-22,75210.0,107000.0,931800,100642000000,300000,32610000000,106600.0,109700.0,106400.0,1400.0,1.33,0.01325757575757569
2022-03-23,73870.0,105100.0,506500,54165000000,426000,45672040000,108000.0,109400.0,104100.0,-1900.0,-1.78,-0.017757009345794383
2022-03-24,75210.0,107000.0,582700,62358000000,200000,21540000000,107000.0,108900.0,105300.0,1900.0,1.81,0.01807802093244537
2022-03-25,76050.0,108200.0,651600,70412000000,48000,5186880000,107000.0,109500.0,106600.0,1200.0,1.12,0.01121495327102795
2022-03-28,76050.0,108200.0,1023700,111972000000,0,0,110000.0,110700.0,108200.0,0.0,0.0,0.0
2022-03-29,77670.0,110500.0,1365500,150964000000,0,0,110000.0,111900.0,109000.0,2300.0,2.13,0.021256931608133023
2022-03-30,76120.0,108300.0,953500,105568000000,1533600,181124016000,111900.0,112900.0,108000.0,-2200.0,-1.99,-0.01990950226244348
2022-03-31,77670.0,110500.0,632700,69367000000,44300,4895150000,108500.0,111000.0,107800.0,2200.0,2.03,0.02031394275161591
2022-04-01,82380.0,117200.0,3758700,435721000000,108800,12515640000,110000.0,118200.0,109900.0,6700.0,6.06,0.060633484162895934
2022-04-04,81960.0,116600.0,1081300,128131000000,191200,23976480000,117300.0,120000.0,116500.0,-600.0,-0.51,-0.005119453924914641
2022-04-05,82800.0,117800.0,540800,64040000000,292200,36437340000,116500.0,119800.0,116500.0,1200.0,1.03,0.010291595197255532
2022-04-06,83010.0,118100.0,1823500,216597000000,107700,13074780000,116500.0,120600.0,115500.0,300.0,0.25,0.002546689303905003
2022-04-07,80900.0,115100.0,1490000,174986000000,161900,19923800000,118100.0,120400.0,114800.0,-3000.0,-2.54,-0.025402201524132084
2022-04-08,80480.0,114500.0,793300,91269000000,271500,32580000000,115100.0,117000.0,113900.0,-600.0,-0.52,-0.005212858384013863
2022-04-12,79000.0,112400.0,1232200,139714000000,100000,11298000000,115000.0,116000.0,112000.0,-2100.0,-1.83,-0.01834061135371179
2022-04-13,81530.0,116000.0,1008100,114548000000,588800,67964379000,112400.0,116500.0,112100.0,3600.0,3.2,0.03202846975088969
2022-04-14,82240.0,117000.0,1254000,149263000000,0,0,117400.0,121500.0,116500.0,1000.0,0.86,0.008620689655172376
2022-04-15,82310.0,117100.0,825000,97327000000,140900,16908000000,116900.0,120400.0,115200.0,100.0,0.09,0.0008547008547008517
2022-04-18,86810.0,123500.0,2466600,298807000000,0,0,120100.0,124000.0,118200.0,6400.0,5.47,0.05465414175918015
2022-04-19,83570.0,118900.0,1112300,135705000000,183400,22668240000,123600.0,123800.0,118900.0,-4600.0,-3.72,-0.03724696356275303
2022-04-20,83570.0,118900.0,1009400,120640000000,175000,21486300000,118800.0,121100.0,117500.0,0.0,0.0,0.0
2022-04-21,83640.0,119000.0,1422500,171247000000,92100,11144100000,120900.0,121800.0,119000.0,100.0,0.08,0.000841042893187538
2022-04-22,80830.0,115000.0,2859300,329181000000,100300,12036000000,120900.0,120900.0,111800.0,-4000.0,-3.36,-0.03361344537815125
2022-04-25,75210.0,107000.0,1826300,198836000000,44000,5060000000,115000.0,115000.0,107000.0,-8000.0,-6.96,-0.06956521739130439
2022-04-26,75490.0,107400.0,1000600,104612000000,0,0,103500.0,108200.0,101000.0,400.0,0.37,0.0037383177570093906
2022-04-27,75210.0,107000.0,813400,85295000000,0,0,107000.0,111000.0,102800.0,-400.0,-0.37,-0.003724394785847296
2022-04-28,74650.0,106200.0,466900,50282000000,0,0,107000.0,109500.0,106200.0,-800.0,-0.75,-0.00747663551401867
2022-04-29,75910.0,108000.0,460000,49829000000,0,0,106500.0,109500.0,106500.0,1800.0,1.69,0.016949152542372836
2022-05-04,76120.0,108300.0,474200,51230000000,35300,3926772000,108000.0,110000.0,106500.0,300.0,0.28,0.002777777777777768
2022-05-05,77320.0,110000.0,509900,55603000000,1000000,115800000000,110500.0,111000.0,106500.0,1700.0,1.57,0.015697137580794163
2022-05-06,74860.0,106500.0,663200,71000000000,0,0,108000.0,109800.0,106000.0,-3500.0,-3.18,-0.03181818181818186
