Ngay,GiaDieuChinh,GiaDongCua,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat,Price_change,%Price_change,Return
2022-01-11,23490.0,48450.0,7296500,355696000000,2526300,124342850000,48900.0,49100.0,48400.0,-250.0,-0.51,-0.004110996916752319
2022-01-12,24440.0,50400.0,12044200,595491000000,50000,2255000000,48450.0,50400.0,48400.0,1900.0,3.92,0.04024767801857587
2022-01-13,24490.0,50500.0,14417100,735138000000,427900,20246310000,50900.0,51800.0,50200.0,100.0,0.2,0.001984126984126977
2022-01-14,24120.0,49750.0,5187100,259520000000,585900,28725500000,50000.0,50400.0,49500.0,-750.0,-1.49,-0.014851485148514865
2022-01-17,23570.0,48600.0,10990600,543231000000,788700,38850840000,49700.0,50500.0,48600.0,-1150.0,-2.31,-0.02311557788944718
2022-01-18,23640.0,48750.0,7885200,384964000000,1736000,84577600000,48600.0,49450.0,48500.0,150.0,0.31,0.0030864197530864335
2022-01-19,23660.0,48800.0,3749500,184026000000,210000,10909000000,49000.0,49400.0,48800.0,0.0,0.0,0.0010256410256410664
2022-01-20,23740.0,48950.0,4336100,211309000000,2468900,123897910000,48650.0,48950.0,48600.0,50.0,0.1,0.0030737704918033515
2022-01-21,24150.0,49800.0,10321600,515169000000,1430000,70374000000,49000.0,50800.0,48900.0,900.0,1.84,0.01736465781409602
2022-01-24,24390.0,50300.0,16269200,824755000000,1076600,52271910000,49950.0,51400.0,49800.0,500.0,1.0,0.010040160642570184
2022-01-25,25170.0,51900.0,14466300,747068000000,4037000,207111710000,51200.0,52100.0,51000.0,1600.0,3.18,0.031809145129224614
2022-01-26,25410.0,52400.0,15042300,791579000000,660000,32706000000,52400.0,53300.0,52000.0,500.0,0.96,0.009633911368015502
2022-01-27,25170.0,51900.0,8044000,419351000000,4580000,240220000000,52000.0,52700.0,51500.0,-500.0,-0.95,-0.009541984732824416
2022-01-28,25600.0,52800.0,10292900,540953000000,40000,2038000000,51900.0,53000.0,51600.0,900.0,1.73,0.01734104046242768
2022-02-07,25600.0,52800.0,9809900,522380000000,650400,36682560000,53700.0,53800.0,52800.0,0.0,0.0,0.0
2022-02-08,26090.0,53800.0,16481000,884138000000,743500,38327900000,52800.0,54300.0,52800.0,1000.0,1.89,0.018939393939394034
2022-02-09,25990.0,53600.0,17391000,943843000000,2249240,119499130000,54000.0,54900.0,53600.0,-200.0,-0.37,-0.0037174721189591198
2022-02-10,25990.0,53600.0,11224900,602485000000,210000,10836000000,53600.0,54200.0,53100.0,0.0,0.0,0.0
2022-02-11,26040.0,53700.0,7847800,419677000000,40000,2144000000,53500.0,53800.0,53000.0,100.0,0.19,0.001865671641791078
