Ngay,GiaDieuChinh,GiaDongCua,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat,Price_change,%Price_change,Return
2022-01-11,101000.0,101000.0,2240600,226097000000,186400,20392160000,102000.0,102000.0,99800.0,-1300.0,-1.27,-0.012707722385141729
2022-01-12,100800.0,100800.0,2338500,233627000000,0,0,101500.0,101500.0,98000.0,-200.0,-0.2,-0.001980198019801982
2022-01-13,98800.0,98800.0,1955700,194881000000,192000,18009600000,101000.0,101000.0,98500.0,-2000.0,-1.98,-0.019841269841269882
2022-01-14,98900.0,98900.0,1017400,100591000000,186400,17130160000,98200.0,99600.0,98200.0,100.0,0.1,0.0010121457489877805
2022-01-17,97000.0,97000.0,2628900,255500000000,0,0,99000.0,99200.0,94500.0,-1900.0,-1.92,-0.01921132457027297
2022-01-18,95900.0,95900.0,2032000,194795000000,732300,69802836000,97000.0,97000.0,94100.0,-1100.0,-1.13,-0.01134020618556697
2022-01-19,93800.0,93800.0,1612700,153023000000,0,0,95000.0,95900.0,93600.0,-2100.0,-2.19,-0.021897810218978075
2022-01-20,95400.0,95400.0,730800,69630000000,0,0,94600.0,96300.0,94600.0,-400.0,-0.42,0.017057569296375252
2022-01-21,95500.0,95500.0,3192800,302017000000,0,0,95900.0,96000.0,93300.0,500.0,0.53,0.0010482180293500676
2022-01-24,95000.0,95000.0,3935300,371418000000,1000000,91000000000,94900.0,96000.0,92500.0,-500.0,-0.52,-0.005235602094240788
2022-01-25,96000.0,96000.0,3198400,304823000000,720000,69120000000,95000.0,97700.0,93400.0,1000.0,1.05,0.010526315789473717
2022-01-26,96400.0,96400.0,1932000,184746000000,0,0,96500.0,96500.0,94500.0,400.0,0.42,0.004166666666666652
2022-01-27,96500.0,96500.0,2559000,244667000000,500000,47500000000,96500.0,96500.0,94200.0,100.0,0.1,0.0010373443983402453
2022-01-28,97000.0,97000.0,2999600,288309000000,0,0,95100.0,97000.0,94500.0,500.0,0.52,0.005181347150259086
2022-02-07,91200.0,91200.0,7413400,698729000000,40000,3612000000,96400.0,97500.0,91200.0,-5800.0,-5.98,-0.0597938144329897
2022-02-08,87300.0,87300.0,8010800,707899000000,20099,1748613000,91300.0,92300.0,86700.0,-3900.0,-4.28,-0.042763157894736836
2022-02-09,85700.0,85700.0,8812500,762223000000,0,0,87600.0,88700.0,84900.0,-1600.0,-1.83,-0.018327605956471982
2022-02-10,84000.0,84000.0,11088500,925742000000,0,0,85700.0,86000.0,81700.0,-1700.0,-1.98,-0.019836639439906656
2022-02-11,81700.0,81700.0,7846400,644393000000,0,0,83000.0,83600.0,81500.0,-2300.0,-2.74,-0.027380952380952395
2022-02-14,81800.0,81800.0,4973500,409571000000,288000,23180000000,81700.0,84000.0,80700.0,100.0,0.12,0.001223990208078396
2022-02-15,83700.0,83700.0,3001500,249534000000,0,0,82000.0,83800.0,81800.0,1900.0,2.32,0.023227383863080764
2022-02-16,82900.0,82900.0,1986000,165073000000,0,0,83900.0,83900.0,82700.0,-800.0,-0.96,-0.009557945041816063
2022-02-17,83100.0,83100.0,2865600,236811000000,70000,5523000000,82800.0,83500.0,82000.0,200.0,0.24,0.0024125452352230514
2022-02-18,82200.0,82200.0,2914400,239819000000,0,0,82500.0,82800.0,82000.0,-900.0,-1.08,-0.010830324909747335
2022-02-21,83600.0,83600.0,2513700,209089000000,0,0,82100.0,83800.0,82000.0,1400.0,1.7,0.017031630170316392
2022-02-22,82000.0,82000.0,2975200,244872000000,600000,50160000000,83000.0,83300.0,81800.0,-1600.0,-1.91,-0.019138755980861233
2022-02-23,82500.0,82500.0,1439000,118332000000,0,0,82100.0,82500.0,82000.0,500.0,0.61,0.0060975609756097615
2022-02-24,80100.0,80100.0,6367500,513409000000,0,0,82300.0,82400.0,79300.0,-2400.0,-2.91,-0.029090909090909056
2022-02-25,79100.0,79100.0,3385500,269910000000,0,0,80900.0,80900.0,79100.0,-1000.0,-1.25,-0.012484394506866447
2022-02-28,77000.0,77000.0,4678600,362044000000,67500,5368950000,79500.0,79500.0,77000.0,-2100.0,-2.65,-0.026548672566371723
2022-03-01,79200.0,79200.0,3467600,272240000000,0,0,77100.0,79900.0,77000.0,2200.0,2.86,0.02857142857142847
2022-03-02,78900.0,78900.0,2401000,188103000000,0,0,79200.0,79200.0,77200.0,-300.0,-0.38,-0.0037878787878787845
2022-03-03,79000.0,79000.0,2610400,206930000000,0,0,78900.0,80400.0,78300.0,100.0,0.13,0.0012674271229404788
2022-03-04,79000.0,79000.0,3817400,298849000000,90000,7065000000,79000.0,79300.0,77800.0,0.0,0.0,0.0
2022-03-07,78500.0,78500.0,2442600,190902000000,621000,49059000000,78400.0,79000.0,77300.0,-500.0,-0.63,-0.006329113924050667
2022-03-08,77900.0,77900.0,4290200,333046000000,20049,1551792600,78000.0,78900.0,77100.0,-600.0,-0.76,-0.007643312101910826
2022-03-09,78000.0,78000.0,3049900,238116000000,120000,9315000000,78100.0,78700.0,77300.0,100.0,0.13,0.0012836970474967568
2022-03-10,79100.0,79100.0,4366600,347999000000,0,0,78500.0,80600.0,78000.0,1100.0,1.41,0.014102564102564052
2022-03-11,79000.0,79000.0,2222400,174176000000,0,0,78800.0,79000.0,77800.0,-100.0,-0.13,-0.0012642225031606058
2022-03-14,78300.0,78300.0,2622700,204457000000,50000,3800000000,78800.0,78800.0,77400.0,-700.0,-0.89,-0.008860759493670933
2022-03-15,78300.0,78300.0,2733900,212270000000,141000,11025000000,78000.0,78600.0,77000.0,0.0,0.0,0.0
2022-03-16,78100.0,78100.0,2950000,228843000000,70074,5507140180,78300.0,78400.0,77200.0,-200.0,-0.26,-0.0025542784163473664
2022-03-17,78400.0,78400.0,2565900,200109000000,10220000,798182000000,78300.0,78500.0,77300.0,300.0,0.38,0.003841229193341844
2022-03-18,78800.0,78800.0,5520700,432689000000,3270000,256467000000,78300.0,79500.0,77400.0,400.0,0.51,0.005102040816326481
2022-03-21,81000.0,81000.0,3705300,295461000000,50000,3950000000,78800.0,81000.0,78300.0,2200.0,2.79,0.027918781725888353
2022-03-22,82200.0,82200.0,3631800,297518000000,0,0,81000.0,82400.0,81000.0,1200.0,1.48,0.014814814814814836
2022-03-23,81400.0,81400.0,1529200,125197000000,15358809,1262263863800,82100.0,82400.0,81400.0,-800.0,-0.97,-0.009732360097323589
2022-03-24,81000.0,81000.0,1995200,161016000000,570000,46790000000,81400.0,81400.0,80400.0,-400.0,-0.49,-0.004914004914004955
2022-03-25,81000.0,81000.0,2193500,176657000000,0,0,80600.0,81000.0,79700.0,0.0,0.0,0.0
2022-03-28,80500.0,80500.0,2339900,187940000000,185000,15240000000,79900.0,81200.0,79700.0,-500.0,-0.62,-0.006172839506172867
2022-03-29,80800.0,80800.0,2798300,226101000000,100000,8610000000,80000.0,81800.0,79800.0,300.0,0.37,0.003726708074534235
2022-03-30,81100.0,81100.0,3088400,252160000000,0,0,82500.0,82700.0,80400.0,300.0,0.37,0.003712871287128605
2022-03-31,81200.0,81200.0,1372000,111943000000,185000,15240000000,81100.0,82300.0,81000.0,100.0,0.12,0.0012330456226881115
2022-04-01,82100.0,82100.0,2609900,213581000000,0,0,81400.0,82500.0,80900.0,900.0,1.11,0.011083743842364546
2022-04-04,82700.0,82700.0,2730500,224703000000,80000,6560000000,82500.0,82800.0,81500.0,600.0,0.73,0.0073081607795371095
2022-04-05,82300.0,82300.0,3591100,295429000000,85000,7140000000,82500.0,83100.0,81700.0,-400.0,-0.48,-0.0048367593712213
2022-04-06,80500.0,80500.0,5679100,456580000000,599000,48443400000,80500.0,82300.0,79500.0,-1800.0,-2.19,-0.021871202916160404
2022-04-07,79500.0,79500.0,3704800,291532000000,60000,4500000000,80200.0,80300.0,77600.0,-1000.0,-1.24,-0.012422360248447228
