Ngay,GiaDieuChinh,GiaDongCua,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat,Price_change,%Price_change,Return
2022-01-11,14000.0,14000.0,114300,1600000000,0,0,14300.0,14300.0,13800.0,-300.0,-2.1,-0.01754385964912286
2022-01-12,14050.0,14050.0,69200,964000000,0,0,14050.0,14050.0,13800.0,50.0,0.36,0.0035714285714285587
2022-01-13,13950.0,13950.0,80800,1120000000,0,0,14100.0,14200.0,13800.0,-150.0,-1.06,-0.007117437722419906
2022-01-14,13650.0,13650.0,55600,761000000,0,0,13800.0,14000.0,13600.0,-350.0,-2.5,-0.021505376344086002
2022-01-17,13150.0,13150.0,73400,988000000,0,0,14150.0,14150.0,12900.0,-500.0,-3.66,-0.03663003663003661
2022-01-18,13500.0,13500.0,110100,1446000000,0,0,13150.0,13700.0,13050.0,350.0,2.66,0.026615969581748944
2022-01-19,13350.0,13350.0,23700,311000000,0,0,12850.0,13500.0,12850.0,-150.0,-1.11,-0.011111111111111072
2022-01-20,13200.0,13200.0,38700,503000000,0,0,13150.0,13400.0,12700.0,0.0,0.0,-0.011235955056179803
2022-01-21,13300.0,13300.0,23600,312000000,0,0,13500.0,13500.0,13200.0,100.0,0.76,0.007575757575757569
2022-01-24,13050.0,13050.0,76100,993000000,0,0,13300.0,13300.0,12900.0,-250.0,-1.88,-0.018796992481203034
2022-01-25,13100.0,13100.0,19600,256000000,0,0,13500.0,13500.0,12900.0,0.0,0.0,0.003831417624521105
2022-01-26,13050.0,13050.0,62500,815000000,0,0,13100.0,13200.0,12950.0,-50.0,-0.38,-0.003816793893129722
2022-01-27,13050.0,13050.0,92600,1204000000,0,0,13100.0,13300.0,12900.0,-50.0,-0.38,0.0
2022-01-28,13200.0,13200.0,24500,320000000,0,0,13050.0,13200.0,13000.0,100.0,0.76,0.011494252873563315
2022-02-07,14100.0,14100.0,197700,2778000000,0,0,13600.0,14100.0,13600.0,900.0,6.82,0.06818181818181812
2022-02-08,14500.0,14500.0,491800,7256000000,0,0,14750.0,15000.0,14500.0,400.0,2.84,0.028368794326241176
2022-02-09,14500.0,14500.0,161900,2336000000,0,0,14900.0,14900.0,14150.0,0.0,0.0,0.0
2022-02-10,14400.0,14400.0,66900,965000000,0,0,14600.0,14600.0,14300.0,-100.0,-0.69,-0.006896551724137945
2022-02-11,14200.0,14200.0,101500,1447000000,0,0,14500.0,14500.0,14150.0,-200.0,-1.39,-0.01388888888888884
2022-02-14,14500.0,14500.0,234100,3405000000,0,0,14200.0,14950.0,14000.0,300.0,2.11,0.021126760563380254
2022-02-15,14400.0,14400.0,140100,2027000000,0,0,14550.0,14700.0,14400.0,-100.0,-0.69,-0.006896551724137945
2022-02-16,14800.0,14800.0,153200,2254000000,0,0,14950.0,15000.0,14500.0,400.0,2.78,0.02777777777777768
2022-02-17,15800.0,15800.0,310100,4838000000,0,0,15050.0,15800.0,15050.0,1000.0,6.76,0.06756756756756754
2022-02-18,15900.0,15900.0,674100,10924000000,0,0,16450.0,16450.0,15800.0,100.0,0.63,0.006329113924050667
2022-02-21,16900.0,16900.0,346700,5696000000,0,0,15900.0,17000.0,15700.0,1000.0,6.29,0.06289308176100628
2022-02-22,17300.0,17300.0,422100,7128000000,0,0,16350.000000000002,17500.0,16200.0,400.0,2.37,0.023668639053254337
2022-02-23,18150.0,18150.0,465200,8324000000,0,0,17300.0,18200.0,17300.0,850.0,4.91,0.049132947976878505
2022-02-24,17600.0,17600.0,479600,8584000000,0,0,18500.0,18500.0,17100.0,-600.0,-3.3,-0.030303030303030276
2022-02-25,17600.0,17600.0,350900,6202000000,0,0,17600.0,18050.0,17400.0,0.0,0.0,0.0
2022-02-28,17400.0,17400.0,209300,3588000000,0,0,17000.0,17500.0,17000.0,-200.0,-1.14,-0.011363636363636354
2022-03-01,17200.0,17200.0,276800,4707000000,0,0,17000.0,17650.0,16500.0,-200.0,-1.15,-0.011494252873563204
2022-03-02,16800.0,16800.0,222300,3747000000,0,0,16700.0,17200.0,16700.0,-400.0,-2.33,-0.023255813953488413
2022-03-03,17300.0,17300.0,235500,3996000000,4669200,77041800000,17000.0,17450.0,16700.0,500.0,2.98,0.029761904761904656
2022-03-04,17600.0,17600.0,287600,5039000000,0,0,17300.0,17700.0,17200.0,300.0,1.73,0.01734104046242768
2022-03-07,16900.0,16900.0,286300,4893000000,0,0,17600.0,17600.0,16900.0,-700.0,-3.98,-0.03977272727272729
2022-03-08,17100.0,17100.0,269000,4624000000,4317500,71238750000,16600.0,17700.0,16600.0,200.0,1.18,0.01183431952662728
2022-03-09,17150.0,17150.0,174200,2996000000,0,0,17100.0,17700.0,17000.0,50.0,0.29,0.0029239766081872176
2022-03-10,17700.0,17700.0,385100,6768000000,0,0,17500.0,17900.0,17150.0,500.0,2.91,0.03206997084548102
2022-03-11,17500.0,17500.0,298600,5270000000,0,0,17750.0,18000.0,17250.0,-200.0,-1.13,-0.011299435028248594
2022-03-14,17800.0,17800.0,428700,7662000000,0,0,17700.0,18200.0,17350.0,300.0,1.71,0.017142857142857126
2022-03-15,17900.0,17900.0,310300,5554000000,0,0,18300.0,18300.0,17500.0,100.0,0.56,0.00561797752808979
2022-03-16,17800.0,17800.0,245900,4362000000,0,0,18000.0,18100.0,17500.0,-100.0,-0.56,-0.005586592178770999
2022-03-17,17800.0,17800.0,207600,3717000000,0,0,17900.0,18300.0,17700.0,0.0,0.0,0.0
2022-03-18,17600.0,17600.0,225900,3986000000,0,0,17800.0,17800.0,17500.0,-200.0,-1.12,-0.011235955056179803
