Ngay,GiaDieuChinh,GiaDongCua,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat,Price_change,%Price_change,Return
2022-01-11,72270.0,83700.0,1829000,153165000000,143400,12834300000,83600.0,84000.0,83500.0,0.0,0.0,0.0
2022-01-12,71750.0,83100.0,2183600,181459000000,138700,11520422000,83800.0,83800.0,82700.0,-600.0,-0.72,-0.007168458781361964
2022-01-13,71750.0,83100.0,1711600,142244000000,397400,32161520000,83400.0,83700.0,82900.0,0.0,0.0,0.0
2022-01-14,73130.0,84700.0,2516600,211928000000,244200,19573188000,83100.0,85100.0,82700.0,1600.0,1.93,0.019253910950661757
2022-01-17,71580.0,82900.0,2100400,176028000000,0,0,85000.0,85000.0,82900.0,-1800.0,-2.13,-0.02125147579693032
2022-01-18,72010.0,83400.0,2100400,174506000000,0,0,82900.0,83500.0,82600.0,500.0,0.6,0.006031363088057962
2022-01-19,71490.0,82800.0,1309600,108761000000,0,0,82900.0,83500.0,82700.0,-600.0,-0.72,-0.007194244604316502
2022-01-20,71750.0,83100.0,736700,61196000000,0,0,83000.0,83200.0,82900.0,-300.0,-0.36,0.0036231884057971175
2022-01-21,71320.0,82600.0,1576400,130599000000,220000,19140000000,83000.0,83300.0,82500.0,-400.0,-0.48,-0.006016847172081841
2022-01-24,69940.0,81000.0,2222200,181289000000,219920,17941073600,82600.0,82700.0,81000.0,-1600.0,-1.94,-0.01937046004842613
2022-01-25,68380.0,79200.0,3758600,299544000000,163500,13029315000,80500.0,81000.0,79100.0,-1800.0,-2.22,-0.022222222222222254
2022-01-26,68810.0,79700.0,1452100,115947000000,220000,18634000000,79300.0,80500.0,79300.0,500.0,0.63,0.0063131313131312705
2022-01-27,71750.0,83100.0,2039000,166692000000,0,0,80100.0,83400.0,80100.0,3400.0,4.27,0.042659974905897124
2022-01-28,71750.0,83100.0,2257400,188422000000,713900,59596372000,83000.0,84200.0,82800.0,0.0,0.0,0.0
2022-02-07,72090.0,83500.0,1324200,110233000000,378900,31539636000,83200.0,84000.0,82900.0,400.0,0.48,0.004813477737665384
2022-02-08,70800.0,82000.0,2708900,224252000000,932000,75094450000,83400.0,83500.0,82000.0,-1500.0,-1.8,-0.017964071856287456
2022-02-09,71490.0,82800.0,1799300,149200000000,120000,9960000000,82000.0,83700.0,82000.0,800.0,0.98,0.009756097560975618
2022-02-10,71400.0,82700.0,1612500,133394000000,0,0,82800.0,83300.0,82300.0,-100.0,-0.12,-0.0012077294685990392
2022-02-11,70800.0,82000.0,1624600,133584000000,598098,49170037560,82500.0,82600.0,81900.0,-700.0,-0.85,-0.008464328899637219
2022-02-14,70020.0,81100.0,2971800,241633000000,60000,4920000000,81500.0,82000.0,81000.0,-900.0,-1.1,-0.01097560975609757
2022-02-15,70110.0,81200.0,1465300,119013000000,0,0,81100.0,81500.0,81000.0,100.0,0.12,0.0012330456226881115
2022-02-16,69420.0,80400.0,2825100,227741000000,0,0,81200.0,81300.0,80300.0,-800.0,-0.99,-0.009852216748768461
2022-02-17,69760.0,80800.0,1787700,144301000000,300000,24213000000,80500.0,81200.0,80400.0,400.0,0.5,0.004975124378109541
2022-02-18,69590.0,80600.0,1808100,145421000000,0,0,80100.0,80800.0,80100.0,-200.0,-0.25,-0.0024752475247524774
2022-02-21,69940.0,81000.0,1280600,103835000000,0,0,80900.0,81600.0,80900.0,400.0,0.5,0.00496277915632759
2022-02-22,69070.0,80000.0,3204500,257120000000,0,0,80900.0,81000.0,79700.0,-1000.0,-1.23,-0.012345679012345734
2022-02-23,69070.0,80000.0,2200300,175984000000,0,0,80000.0,80500.0,79800.0,0.0,0.0,0.0
2022-02-24,67860.0,78600.0,2723500,215468000000,0,0,80000.0,80000.0,78500.0,-1400.0,-1.75,-0.01749999999999996
2022-02-25,68120.0,78900.0,1347700,106538000000,0,0,79000.0,79500.0,78900.0,300.0,0.38,0.003816793893129722
2022-02-28,67690.0,78400.0,2258900,176707000000,21600,1708776000,78900.0,79000.0,77800.0,-500.0,-0.63,-0.006337135614702172
2022-03-01,68380.0,79200.0,1273100,100436000000,139400,10997266000,78400.0,79400.0,78200.0,800.0,1.02,0.010204081632652962
2022-03-02,67780.0,78500.0,2037100,160345000000,355200,27883200000,79200.0,79200.0,78000.0,-700.0,-0.88,-0.008838383838383868
2022-03-03,67690.0,78400.0,1486600,116838000000,446600,34823794000,78700.0,79000.0,78200.0,-100.0,-0.13,-0.001273885350318471
2022-03-04,67260.0,77900.0,2511600,195987000000,608800,47500954000,78400.0,78400.0,77800.0,-500.0,-0.64,-0.0063775510204081565
2022-03-07,66310.0,76800.0,3530800,272044000000,669000,51539760000,77900.0,77900.0,76700.0,-1100.0,-1.41,-0.014120667522464658
2022-03-08,65700.0,76100.0,2383000,181674000000,0,0,76300.0,76500.0,76000.0,-700.0,-0.91,-0.00911458333333337
2022-03-09,64840.0,75100.0,3003700,227188000000,189080,14314632000,76000.0,76800.0,75000.0,-1000.0,-1.31,-0.013140604467805517
